"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"260","2014-15","30","MIL","NBA","C","73","45","23.7","3.3","7.2",".454","0.0","0.0",".000","3.3","7.2",".456",".454","1.7","2.2",".788","2.7","4.2","6.8","2.4","1.1","0.3","1.8","2.3","8.3","pachuza01"
"261","2015-16","31","DAL","NBA","C","76","69","26.4","2.9","6.2",".466","0.0","0.0",".000","2.9","6.1",".469",".466","2.8","3.6",".768","3.3","6.2","9.4","1.7","0.8","0.3","1.6","2.4","8.6","pachuza01"
"262","2016-17","32","GSW","NBA","C","44","44","18.8","2.2","4.1",".527","0.0","0.0","","2.2","4.1",".527",".527","1.5","2.0",".773","2.1","3.9","6.0","2.0","1.0","0.4","1.3","2.4","5.9","pachuza01"
"263","2016-17","19","SAC","NBA","C","2","0","4.5","0.5","0.5","1.000","0.0","0.0","","0.5","0.5","1.000","1.000","0.0","0.0","","0.0","0.5","0.5","0.0","0.0","0.0","0.5","1.5","1.0","papagge01"
"264","2016-17","21","TOR","NBA","C","25","2","10.2","0.8","1.7",".442","0.0","0.0","","0.8","1.7",".442",".442","0.6","1.0",".560","1.3","1.4","2.7","0.2","0.4","0.3","0.4","2.1","2.1","poeltja01"
"265","2016-17","19","LAC","NBA","C","5","0","4.0","0.6","2.2",".273","0.0","0.0","","0.6","2.2",".273",".273","0.8","0.8","1.000","0.2","0.6","0.8","0.0","0.0","0.2","0.2","1.0","2.0","stonedi01"
"266","2015-16","23","ATL","NBA","C","11","0","6.6","1.0","1.7",".579","0.0","0.0","","1.0","1.7",".579",".579","0.3","0.7",".375","0.6","1.3","1.9","0.3","0.1","0.5","0.5","0.7","2.3","tavarwa01"
"267","2016-17","24","ATL","NBA","C","1","0","4.0","1.0","1.0","1.000","0.0","0.0","","1.0","1.0","1.000","1.000","0.0","2.0",".000","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","tavarwa01"
"268","2012-13","20","TOR","NBA","C","62","57","23.9","3.3","5.9",".557","0.0","0.0","","3.3","5.9",".557",".557","2.4","3.0",".789","2.0","4.0","6.0","0.7","0.3","1.3","1.5","3.0","8.9","valanjo01"
"269","2013-14","21","TOR","NBA","C","81","81","28.2","4.4","8.3",".531","0.0","0.0",".000","4.4","8.3",".532",".531","2.4","3.2",".762","2.8","6.0","8.8","0.7","0.3","0.9","1.7","3.1","11.3","valanjo01"
"270","2014-15","22","TOR","NBA","C","80","80","26.2","4.7","8.2",".572","0.0","0.0",".000","4.7","8.1",".573",".572","2.7","3.5",".786","2.7","6.0","8.7","0.5","0.4","1.2","1.4","2.8","12.0","valanjo01"
"271","2015-16","23","TOR","NBA","C","60","59","26.0","5.1","8.9",".565","0.0","0.0","","5.1","8.9",".565",".565","2.7","3.6",".761","3.1","6.1","9.1","0.7","0.4","1.3","1.4","2.6","12.8","valanjo01"
"272","2016-17","24","TOR","NBA","C","47","47","27.1","4.8","9.0",".530","0.0","0.0","","4.8","9.0",".530",".530","2.4","2.8",".863","3.1","7.0","10.2","0.7","0.5","0.8","1.5","2.9","11.9","valanjo01"
"273","2011-12","21","PHI","NBA","C","51","15","15.9","2.6","5.7",".450","0.1","0.2",".375","2.5","5.5",".452",".455","0.4","0.7",".529","1.7","3.1","4.8","0.6","0.4","0.7","0.6","2.2","5.5","vucevni01"
"274","2012-13","22","ORL","NBA","C","77","77","33.2","6.0","11.5",".519","0.0","0.0",".000","6.0","11.5",".520",".519","1.1","1.6",".683","3.5","8.4","11.9","1.9","0.8","1.0","1.8","2.8","13.1","vucevni01"
"275","2013-14","23","ORL","NBA","C","57","57","31.8","6.2","12.2",".507","0.0","0.0","","6.2","12.2",".507",".507","1.8","2.4",".766","3.2","7.7","11.0","1.8","1.1","0.8","2.0","3.0","14.2","vucevni01"
