"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"322","2009-10","25","OKC","NBA","SG","82","82","28.6","2.4","5.4",".440","0.5","1.6",".313","1.9","3.8",".494",".486","0.7","1.1",".674","0.9","3.8","4.7","1.8","1.2","0.6","1.1","1.9","6.0","sefolth01"
"323","2010-11","26","OKC","NBA","SG","79","79","25.9","2.0","4.2",".471","0.4","1.3",".275","1.6","2.9",".558",".514","0.7","1.0",".747","0.8","3.6","4.4","1.4","1.2","0.5","0.7","2.2","5.1","sefolth01"
"324","2011-12","27","OKC","NBA","SG","42","42","21.8","1.6","3.7",".432","0.7","1.7",".437","0.9","2.0",".429",".532","0.9","1.0",".884","0.5","2.5","3.0","1.1","0.9","0.4","1.0","1.9","4.8","sefolth01"
"325","2012-13","28","OKC","NBA","SG","81","81","27.5","2.8","5.8",".481","1.3","3.2",".419","1.4","2.6",".558",".597","0.7","0.9",".826","0.7","3.2","3.9","1.5","1.3","0.5","0.8","2.2","7.6","sefolth01"
"326","2013-14","29","OKC","NBA","SG","61","61","26.0","2.3","5.6",".415","0.8","2.5",".316","1.5","3.1",".495",".485","0.9","1.1",".768","0.8","2.8","3.6","1.5","1.3","0.3","0.9","1.5","6.3","sefolth01"
"327","2014-15","30","ATL","NBA","SF","52","7","18.8","2.0","4.8",".418","0.5","1.5",".321","1.5","3.3",".462",".468","0.9","1.1",".776","1.0","3.3","4.3","1.4","1.0","0.4","0.7","1.3","5.3","sefolth01"
"328","2015-16","31","ATL","NBA","SF","75","11","23.4","2.5","5.0",".505","0.6","1.7",".339","1.9","3.3",".589",".562","0.8","1.3",".626","0.7","3.8","4.5","1.4","1.1","0.5","0.9","1.5","6.4","sefolth01"
"329","2016-17","32","ATL","NBA","SF","44","29","25.8","3.0","6.6",".457","0.6","1.8",".329","2.4","4.8",".505",".502","1.0","1.3",".772","0.8","3.5","4.3","1.6","1.7","0.5","0.9","1.5","7.6","sefolth01"
"330","2004-05","19","NOH","NBA","SG","76","56","24.5","3.9","9.8",".394","1.1","3.7",".288","2.8","6.1",".458",".449","1.5","2.1",".689","0.5","1.5","2.0","1.9","0.7","0.1","1.4","1.8","10.3","smithjr01"
"331","2005-06","20","NOK","NBA","SG","55","25","18.0","2.6","6.7",".393","0.9","2.5",".371","1.7","4.1",".407",".464","1.5","1.8",".822","0.3","1.7","2.0","1.1","0.7","0.1","1.0","1.6","7.7","smithjr01"
"332","2006-07","21","DEN","NBA","SG","63","24","23.3","4.5","10.2",".441","2.4","6.1",".390","2.1","4.2",".515",".557","1.6","2.0",".810","0.5","1.8","2.3","1.4","0.8","0.1","1.3","2.3","13.0","smithjr01"
"333","2007-08","22","DEN","NBA","SG","74","0","19.2","4.2","9.1",".461","2.1","5.3",".403","2.1","3.8",".542",".578","1.7","2.4",".719","0.6","1.5","2.1","1.7","0.8","0.2","1.5","1.9","12.3","smithjr01"
"334","2008-09","23","DEN","NBA","SG","81","18","27.7","5.2","11.7",".446","2.2","5.6",".397","3.0","6.1",".491",".541","2.5","3.4",".754","0.5","3.1","3.7","2.8","1.0","0.2","1.9","2.3","15.2","smithjr01"
