"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"360","2016-17","34","GSW","NBA","C","12","1","6.5","0.3","0.9",".364","0.0","0.0","","0.3","0.9",".364",".364","0.7","0.9",".727","0.9","1.1","2.0","0.8","0.2","0.3","0.6","0.9","1.3","varejan01"
"361","2013-14","21","CHA","NBA","C","82","3","17.3","2.1","4.9",".426","0.0","0.0",".000","2.1","4.9",".427",".426","1.8","2.4",".730","1.4","2.9","4.3","1.1","0.5","0.5","1.1","2.1","6.0","zelleco01"
"362","2014-15","22","CHO","NBA","C","62","45","24.0","2.8","6.0",".461","0.0","0.0","1.000","2.8","6.0",".460",".462","2.0","2.6",".774","1.6","4.3","5.8","1.6","0.5","0.8","1.0","2.5","7.6","zelleco01"
"363","2015-16","23","CHO","NBA","C","73","60","24.3","3.2","6.0",".529","0.0","0.1",".100","3.2","5.8",".539",".530","2.4","3.2",".754","1.9","4.3","6.2","1.0","0.8","0.9","0.9","2.8","8.7","zelleco01"
"364","2016-17","24","CHO","NBA","PF","38","36","26.9","4.2","7.2",".590","0.0","0.0","","4.2","7.2",".590",".590","2.4","3.5",".689","2.3","4.2","6.6","1.4","0.7","1.1","1.2","3.2","10.9","zelleco01"
"365","2012-13","23","CLE","NBA","C","77","55","26.4","3.2","7.3",".438","0.0","0.1",".000","3.2","7.2",".441",".438","1.6","2.0",".764","2.1","3.6","5.7","1.2","0.5","0.9","1.2","3.3","7.9","zellety01"
"366","2013-14","24","CLE","NBA","C","70","9","15.0","2.2","4.1",".538","0.0","0.0",".000","2.2","4.1",".540",".538","1.2","1.7",".719","1.5","2.6","4.0","0.5","0.3","0.5","0.9","2.0","5.7","zellety01"
"367","2014-15","25","BOS","NBA","C","82","59","21.1","4.1","7.5",".549","0.0","0.0","","4.1","7.5",".549",".549","1.9","2.3",".823","1.8","3.9","5.7","1.4","0.2","0.6","0.9","2.5","10.2","zellety01"
"368","2015-16","26","BOS","NBA","C","60","3","11.8","2.3","4.8",".476","0.0","0.0","","2.3","4.8",".476",".476","1.5","1.8",".815","1.0","1.9","3.0","0.5","0.2","0.4","0.8","1.6","6.1","zellety01"
"369","2016-17","27","BOS","NBA","C","29","5","12.4","1.9","4.1",".466","0.0","0.0",".000","1.9","4.0",".470",".466","0.5","0.9",".577","1.1","1.9","3.0","0.9","0.2","0.6","0.4","1.3","4.3","zellety01"
