"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"357","Saturday","95","89","3104","452","998","188","487","205","241","108","529","386","104","82","171","174","1297",".453",".386",".851",".587","18.7","115","108","32.7","13.7","5.6","4.1","batumni01"
"358","Starter","544","544","17616","2343","5360","902","2524","990","1181","601","2990","2073","517","376","1055","1005","6578",".437",".357",".838",".559","17.9","109","107","32.4","12.1","5.5","3.8","batumni01"
"359","Reserve","53","0","1256","187","412","66","173","105","127","68","209","53","40","38","52","103","545",".454",".382",".827",".582","19.2","114","105","23.7","10.3","3.9","1.0","batumni01"
"360","40+","73","71","3093","441","967","186","465","213","256","115","524","342","104","77","186","151","1281",".456",".400",".832",".593","18.6","114","109","42.4","17.5","7.2","4.7","batumni01"
"361","30-39","327","318","11613","1563","3572","584","1667","674","805","370","1983","1462","331","247","716","619","4384",".438",".350",".837",".558","18.1","109","107","35.5","13.4","6.1","4.5","batumni01"
"362","20-29","114","87","2880","410","910","160","422","164","194","123","516","254","85","61","146","211","1144",".451",".379",".845",".575","18.4","112","104","25.3","10.0","4.5","2.2","batumni01"
"363","10-19","79","67","1256","112","314","36","137","44","53","60","172","67","35","29","57","124","304",".357",".263",".830",".451","14.7","94","110","15.9","3.8","2.2","0.8","batumni01"
"364","0-9","4","1","31","4","9","2","6","0","0","1","4","1","2","0","2","3","10",".444",".333",NA,".556","17.1","75","100","7.7","2.5","1.0","0.3","batumni01"
"365","0 Days","132","118","4157","554","1263","202","567","238","284","132","667","433","126","81","229","259","1548",".439",".356",".838",".558","18.0","108","108","31.5","11.7","5.1","3.3","batumni01"
"366","1 Day","326","297","10447","1370","3155","542","1498","576","692","361","1779","1160","285","226","606","600","3858",".434",".362",".832",".558","17.8","109","107","32.0","11.8","5.5","3.6","batumni01"
"367","2 Days","86","82","2689","392","860","138","383","198","233","103","482","376","96","67","178","155","1120",".456",".360",".850",".582","19.0","113","106","31.3","13.0","5.6","4.4","batumni01"
"368","3+ Days","44","41","1340","176","403","72","205","69","81","55","215","133","41","37","79","76","493",".437",".351",".852",".562","17.4","108","106","30.5","11.2","4.9","3.0","batumni01"
"369","Eastern","246","235","7834","1062","2480","406","1139","474","555","260","1392","966","238","145","482","414","3004",".428",".356",".854",".551","18.7","108","105","31.8","12.2","5.7","3.9","batumni01"
"370","Western","351","309","11039","1468","3292","562","1558","621","753","409","1807","1160","319","269","625","694","4119",".446",".361",".825",".568","17.6","110","109","31.4","11.7","5.1","3.3","batumni01"
"371","Atlantic","83","78","2576","369","841","146","394","176","208","75","406","315","71","49","157","127","1060",".439",".371",".846",".568","19.1","111","106","31.0","12.8","4.9","3.8","batumni01"
"372","Central","85","84","2806","347","859","137","392","171","198","86","498","335","85","42","164","148","1002",".404",".349",".864",".530","18.2","106","106","33.0","11.8","5.9","3.9","batumni01"
"373","Northwest","111","102","3536","465","1061","193","496","180","223","109","543","364","108","106","211","256","1303",".438",".389",".807",".562","17.6","107","108","31.9","11.7","4.9","3.3","batumni01"
"374","Pacific","119","103","3689","523","1138","191","531","223","274","174","651","408","109","69","216","202","1460",".460",".360",".814",".580","18.0","113","109","31.0","12.3","5.5","3.4","batumni01"
"375","Southeast","78","73","2451","346","780","123","353","127","149","99","488","316","82","54","161","139","942",".444",".348",".852",".557","18.7","108","104","31.4","12.1","6.3","4.1","batumni01"
"376","Southwest","121","104","3814","480","1093","178","531","218","256","126","613","388","102","94","198","236","1356",".439",".335",".852",".562","17.0","110","109","31.5","11.2","5.1","3.2","batumni01"
"377","Atlanta","18","17","544","71","170","26","84","12","15","20","98","53","23","10","39","34","180",".418",".310",".800",".510","17.7","95","100","30.2","10.0","5.4","2.9","batumni01"
"378","Boston","18","16","501","61","177","21","82","36","42","13","92","63","13","10","33","24","179",".345",".256",".857",".458","20.4","94","104","27.8","9.9","5.1","3.5","batumni01"
"379","CHA, CHO","10","9","280","38","82","14","38","11","12","14","65","30","6","8","7","16","101",".463",".368",".917",".579","15.7","126","107","28.0","10.1","6.5","3.0","batumni01"
"380","Chicago","18","18","574","87","191","40","81","44","50","16","113","63","21","6","32","23","258",".455",".494",".880",".606","19.6","117","104","31.9","14.3","6.3","3.5","batumni01"
"381","Cleveland","17","16","571","74","169","23","78","40","46","18","105","68","14","12","36","35","211",".438",".295",".870",".557","18.2","109","110","33.6","12.4","6.2","4.0","batumni01"
"382","Dallas","26","22","834","99","244","30","122","42","55","30","152","99","20","19","38","49","270",".406",".246",".764",".503","16.9","106","106","32.1","10.4","5.8","3.8","batumni01"
"383","Denver","25","23","782","103","237","51","125","31","43","22","129","100","30","22","47","53","288",".435",".408",".721",".563","17.5","107","106","31.3","11.5","5.2","4.0","batumni01"
"384","Detroit","17","17","566","65","174","22","72","33","39","17","114","74","12","6","26","30","185",".374",".306",".846",".484","17.7","104","107","33.3","10.9","6.7","4.4","batumni01"
"385","Golden State","21","19","674","94","206","36","98","30","42","37","136","70","22","20","33","30","254",".456",".367",".714",".566","16.6","113","112","32.1","12.1","6.5","3.3","batumni01"
"386","Houston","21","18","715","103","198","43","91","47","55","26","107","72","22","23","48","57","296",".520",".473",".855",".666","17.0","119","111","34.1","14.1","5.1","3.4","batumni01"
"387","Indiana","17","17","561","65","164","28","78","27","31","16","78","57","19","12","36","35","185",".396",".359",".871",".521","17.4","98","102","33.0","10.9","4.6","3.4","batumni01"
"388","LA Clippers","24","20","735","106","217","39","100","52","62","31","141","85","24","15","50","45","303",".488",".390",".839",".620","18.5","116","108","30.6","12.6","5.9","3.5","batumni01"
"389","LA Lakers","25","22","780","123","261","42","116","34","49","35","129","92","24","13","34","37","322",".471",".362",".694",".570","18.5","114","109","31.2","12.9","5.2","3.7","batumni01"
"390","Memphis","24","21","705","86","205","33","100","42","49","20","100","59","16","15","33","31","247",".420",".330",".857",".545","17.2","106","108","29.4","10.3","4.2","2.5","batumni01"
"391","Miami","17","17","559","81","181","25","82","42","53","22","105","76","21","15","38","25","229",".448",".305",".792",".560","20.1","109","104","32.9","13.5","6.2","4.5","batumni01"
"392","Milwaukee","16","16","534","56","161","24","83","27","32","19","88","73","19","6","34","25","163",".348",".289",".844",".466","17.9","98","105","33.4","10.2","5.5","4.6","batumni01"
"393","Minnesota","28","28","902","132","292","51","138","50","61","30","143","96","25","39","57","65","365",".452",".370",".820",".572","18.7","110","108","32.2","13.0","5.1","3.4","batumni01"
"394","NJN, BRK","17","17","556","85","182","32","84","46","49","9","86","59","19","12","29","36","248",".467",".381",".939",".609","19.3","117","107","32.7","14.6","5.1","3.5","batumni01"
"395","NOH, NOP","26","23","814","104","244","40","133","42","46","20","124","81","24","23","28","46","290",".426",".301",".913",".549","17.3","113","110","31.3","11.2","4.8","3.1","batumni01"
"396","New York","16","16","531","84","170","35","83","27","40","18","85","58","13","7","31","24","230",".494",".422",".675",".613","18.8","116","108","33.2","14.4","5.3","3.6","batumni01"
"397","Oklahoma City","26","23","830","101","247","35","106","55","63","31","103","55","22","19","38","63","292",".409",".330",".873",".531","17.2","106","111","31.9","11.2","4.0","2.1","batumni01"
"398","Orlando","15","13","459","64","136","25","56","24","28","17","99","78","9","8","36","27","177",".471",".446",".857",".597","18.3","113","107","30.6","11.8","6.6","5.2","batumni01"
"399","Philadelphia","17","15","514","75","178","29","83","34","36","17","81","81","10","7","32","24","213",".421",".349",".944",".549","19.5","112","104","30.2","12.5","4.8","4.8","batumni01"
"400","Phoenix","24","19","705","97","230","36","110","44","52","42","126","73","20","7","45","41","274",".422",".327",".846",".542","18.8","108","108","29.4","11.4","5.3","3.0","batumni01"
"401","Portland","4","4","146","24","57","11","25","12","15","1","24","27","1","2","17","4","71",".421",".440",".800",".558","25.2","97","110","36.6","17.8","6.0","6.8","batumni01"
"402","Sacramento","25","23","796","103","224","38","107","63","69","29","119","88","19","14","54","49","307",".460",".355",".913",".603","17.7","114","107","31.9","12.3","4.8","3.5","batumni01"
"403","San Antonio","24","20","745","88","202","32","85","45","51","30","130","77","20","14","51","53","253",".436",".376",".882",".564","16.9","108","108","31.1","10.5","5.4","3.2","batumni01"
"404","Toronto","15","14","476","64","134","29","62","33","41","18","62","54","16","13","32","19","190",".478",".468",".805",".625","17.7","118","108","31.7","12.7","4.1","3.6","batumni01"
"405","Utah","28","24","876","105","228","45","102","32","41","25","144","86","30","24","52","71","287",".461",".441",".780",".583","15.9","106","109","31.3","10.3","5.1","3.1","batumni01"
"406","Washington","18","17","609","92","211","33","93","38","41","26","121","79","23","13","41","37","255",".436",".355",".927",".557","19.9","110","106","33.9","14.2","6.7","4.4","batumni01"
"407","Total","324","136","5848","841","1996","268","772","350","507","92","888","480","267","117","383","538","2300",".421",".347",".690",".518","19.8","94","104","18.0","7.1","2.7","1.5","bazemke01"
"408","Home","161","63","2817","392","928","128","373","150","213","49","415","236","133","51","181","257","1062",".422",".343",".704",".520","19.1","94","103","17.5","6.6","2.6","1.5","bazemke01"
"409","Road","163","73","3031","449","1068","140","399","200","294","43","473","244","134","66","202","281","1238",".420",".351",".680",".517","20.5","94","106","18.6","7.6","2.9","1.5","bazemke01"
"410","Pre","223","88","3818","550","1321","179","495","219","319","66","567","310","165","77","245","353","1498",".416",".362",".687",".513","19.9","94","104","17.1","6.7","2.5","1.4","bazemke01"
"411","Post","101","48","2030","291","675","89","277","131","188","26","321","170","102","40","138","185","802",".431",".321",".697",".529","19.5","95","105","20.1","7.9","3.2","1.7","bazemke01"
"412","Win","192","73","3320","471","1049","158","412","181","256","50","518","288","161","72","204","300","1281",".449",".383",".707",".551","18.4","100","99","17.3","6.7","2.7","1.5","bazemke01"
"413","Loss","132","63","2528","370","947","110","360","169","251","42","370","192","106","45","179","238","1019",".391",".306",".673",".482","21.6","88","112","19.2","7.7","2.8","1.5","bazemke01"
"414","October","9","6","181","20","56","9","21","10","12","2","28","16","9","2","14","17","59",".357",".429",".833",".481","18.2","87","97","20.1","6.6","3.1","1.8","bazemke01"
"415","November","54","26","990","147","358","42","125","54","72","16","141","84","59","26","64","90","390",".411",".336",".750",".500","20.3","92","102","18.3","7.2","2.6","1.6","bazemke01"
"416","December","66","18","987","137","331","41","122","67","96","14","150","89","33","23","56","97","382",".414",".336",".698",".512","19.5","97","106","15.0","5.8","2.3","1.3","bazemke01"
"417","January","73","31","1245","190","433","66","169","69","104","24","178","90","47","22","86","110","515",".439",".391",".663",".538","20.3","95","104","17.1","7.1","2.4","1.2","bazemke01"
"418","February","40","17","839","117","283","38","112","51","80","15","126","58","42","11","57","73","323",".413",".339",".638",".508","19.9","92","105","21.0","8.1","3.2","1.5","bazemke01"
"419","March","59","28","1191","172","391","53","159","68","101","11","180","97","54","23","76","108","465",".440",".333",".673",".534","19.1","95","107","20.2","7.9","3.1","1.6","bazemke01"
"420","April","23","10","415","58","144","19","64","31","42","10","85","46","23","10","30","43","166",".403",".297",".738",".511","20.1","94","102","18.1","7.2","3.7","2.0","bazemke01"
"421","Sunday","35","18","703","113","232","36","79","49","62","16","113","59","34","12","39","55","311",".487",".456",".790",".600","19.3","108","103","20.1","8.9","3.2","1.7","bazemke01"
"422","Monday","47","22","828","105","291","35","132","50","72","15","143","61","38","22","55","81","295",".361",".265",".694",".457","20.4","85","105","17.6","6.3","3.0","1.3","bazemke01"
"423","Tuesday","38","14","703","103","242","37","97","51","76","11","117","46","29","7","46","73","294",".426",".381",".671",".534","19.9","97","106","18.5","7.7","3.1","1.2","bazemke01"
"424","Wednesday","65","26","1155","142","375","50","141","70","103","16","167","113","59","28","83","105","404",".379",".355",".680",".481","19.3","90","103","17.8","6.2","2.6","1.7","bazemke01"
"425","Thursday","18","8","319","52","119","17","46","19","30","2","46","28","12","4","31","36","140",".437",".370",".633",".530","22.0","89","110","17.7","7.8","2.6","1.6","bazemke01"
"426","Friday","68","27","1224","176","409","48","149","69","99","21","171","95","56","28","73","107","469",".430",".322",".697",".518","19.2","95","106","18.0","6.9","2.5","1.4","bazemke01"
"427","Saturday","53","21","916","150","328","45","128","42","65","11","131","78","39","16","56","81","387",".457",".352",".646",".543","20.1","96","102","17.3","7.3","2.5","1.5","bazemke01"
"428","Starter","136","136","3860","573","1358","188","541","240","324","60","588","338","179","74","260","331","1574",".422",".348",".741",".524","20.2","95","105","28.4","11.6","4.3","2.5","bazemke01"
"429","Reserve","188","0","1988","268","638","80","231","110","183","32","300","142","88","43","123","207","726",".420",".346",".601",".505","19.0","92","104","10.6","3.9","1.6","0.8","bazemke01"
"430","40+","4","4","171","23","49","9","19","8","13","4","32","13","6","2","7","9","63",".469",".474",".615",".576","16.2","110","109","42.8","15.8","8.0","3.3","bazemke01"
"431","30-39","57","52","1892","299","652","97","246","145","194","29","282","182","76","35","126","155","840",".459",".394",".747",".570","20.2","103","107","33.2","14.7","4.9","3.2","bazemke01"
"432","20-29","97","67","2479","356","869","115","350","118","167","32","381","195","132","52","149","222","945",".410",".329",".707",".501","19.6","92","103","25.6","9.7","3.9","2.0","bazemke01"
"433","10-19","64","13","980","123","304","38","115","54","93","22","153","73","35","23","71","104","338",".405",".330",".581",".490","19.0","87","104","15.3","5.3","2.4","1.1","bazemke01"
"434","0-9","102","0","326","40","122","9","42","25","40","5","40","17","18","5","30","48","114",".328",".214",".625",".408","23.1","70","101","3.2","1.1","0.4","0.2","bazemke01"
"435","0 Days","67","33","1361","202","473","71","200","76","110","17","217","116","58","20","79","127","551",".427",".355",".691",".528","19.5","97","106","20.3","8.2","3.2","1.7","bazemke01"
"436","1 Day","174","80","3257","468","1109","136","400","205","286","54","466","271","146","77","215","294","1277",".422",".340",".717",".517","19.9","94","104","18.7","7.3","2.7","1.6","bazemke01"
"437","2 Days","43","14","724","92","219","31","92","37","66","13","128","51","28","10","50","60","252",".420",".337",".561",".508","18.5","91","104","16.8","5.9","3.0","1.2","bazemke01"
"438","3+ Days","35","7","430","75","174","27","73","27","39","7","63","35","32","7","30","49","204",".431",".370",".692",".534","22.3","96","103","12.3","5.8","1.8","1.0","bazemke01"
"439","Eastern","167","81","3292","487","1115","160","424","184","257","61","505","279","138","71","228","301","1318",".437",".377",".716",".537","19.7","96","103","19.7","7.9","3.0","1.7","bazemke01"
"440","Western","157","55","2556","354","881","108","348","166","250","31","383","201","129","46","155","237","982",".402",".310",".664",".495","19.9","92","106","16.3","6.3","2.4","1.3","bazemke01"
"441","Atlantic","56","27","1151","184","410","63","168","70","100","19","162","93","41","27","71","100","501",".449",".375",".700",".552","20.2","101","104","20.6","8.9","2.9","1.7","bazemke01"
"442","Central","56","28","1122","150","359","52","134","60","81","18","186","97","53","27","82","115","412",".418",".388",".741",".522","19.0","92","103","20.0","7.4","3.3","1.7","bazemke01"
"443","Northwest","54","17","804","114","270","34","98","44","68","7","121","60","40","17","47","82","306",".422",".347",".647",".510","19.2","92","109","14.9","5.7","2.2","1.1","bazemke01"
"444","Pacific","48","22","892","136","331","46","138","56","81","17","143","80","47","16","60","80","374",".411",".333",".691",".510","21.1","95","103","18.6","7.8","3.0","1.7","bazemke01"
"445","Southeast","55","26","1019","153","346","45","122","54","76","24","157","89","44","17","75","86","405",".442",".369",".711",".534","19.9","94","102","18.5","7.4","2.9","1.6","bazemke01"
"446","Southwest","55","16","859","104","280","28","112","66","101","7","119","61","42","13","48","75","302",".371",".250",".653",".465","19.4","88","108","15.6","5.5","2.2","1.1","bazemke01"
"447","Atlanta","2","0","19","3","8","0","3","2","4","0","2","2","1","1","1","1","8",".375",".000",".500",".410","22.7","82","98","9.7","4.0","1.0","1.0","bazemke01"
"448","Boston","10","4","213","37","75","11","31","11","16","2","25","20","6","6","18","16","96",".493",".355",".688",".585","21.1","98","105","21.3","9.6","2.5","2.0","bazemke01"
"449","CHA, CHO","14","6","256","45","95","14","37","16","20","8","43","24","11","4","15","24","120",".474",".378",".800",".578","21.4","105","101","18.3","8.6","3.1","1.7","bazemke01"
"450","Chicago","13","7","242","29","84","7","30","21","25","5","40","23","11","10","12","23","86",".345",".233",".840",".453","19.8","91","102","18.6","6.6","3.1","1.8","bazemke01"
"451","Cleveland","9","3","203","29","61","14","25","10","13","3","38","21","8","7","13","23","82",".475",".560",".769",".615","17.7","109","106","22.5","9.1","4.2","2.3","bazemke01"
"452","Dallas","10","3","172","18","54","4","24","11","15","3","29","15","4","3","6","14","51",".333",".167",".733",".421","17.5","90","103","17.2","5.1","2.9","1.5","bazemke01"
"453","Denver","10","3","110","9","33","3","14","10","12","1","16","11","6","1","9","14","31",".273",".214",".833",".405","18.6","78","110","11.0","3.1","1.6","1.1","bazemke01"
"454","Detroit","12","7","244","34","72","12","29","7","12","1","40","16","10","4","19","21","87",".472",".414",".583",".563","17.6","87","106","20.3","7.3","3.3","1.3","bazemke01"
"455","Golden State","5","4","137","15","43","4","18","9","10","3","28","6","6","2","9","14","43",".349",".222",".900",".454","18.1","82","109","27.4","8.6","5.6","1.2","bazemke01"
"456","Houston","9","3","157","25","55","9","22","18","27","1","24","13","10","1","12","17","77",".455",".409",".667",".576","21.2","102","108","17.5","8.6","2.7","1.4","bazemke01"
"457","Indiana","10","6","214","27","75","9","23","16","20","3","40","20","15","3","20","25","79",".360",".391",".800",".471","21.6","85","98","21.4","7.9","4.0","2.0","bazemke01"
"458","LA Clippers","13","5","174","27","68","7","26","17","28","2","19","19","5","3","16","17","78",".397",".269",".607",".486","24.2","87","111","13.4","6.0","1.5","1.5","bazemke01"
"459","LA Lakers","11","4","194","31","74","14","32","10","13","1","25","25","10","5","8","14","86",".419",".438",".769",".539","20.9","108","101","17.6","7.8","2.3","2.3","bazemke01"
"460","Memphis","10","3","158","17","47","7","23","9","14","0","18","15","7","2","8","12","50",".362",".304",".643",".470","18.6","89","103","15.8","5.0","1.8","1.5","bazemke01"
"461","Miami","10","6","234","36","73","10","23","11","17","2","37","15","12","3","22","17","93",".493",".435",".647",".578","19.7","88","100","23.4","9.3","3.7","1.5","bazemke01"
"462","Milwaukee","12","5","219","31","67","10","27","6","11","6","28","17","9","3","18","23","78",".463",".370",".545",".543","18.2","91","103","18.3","6.5","2.3","1.4","bazemke01"
"463","Minnesota","10","4","170","21","51","4","16","5","9","1","22","12","13","9","10","23","51",".412",".250",".556",".464","17.0","86","113","17.0","5.1","2.2","1.2","bazemke01"
"464","New Jersey","10","4","168","22","48","9","21","11","17","3","18","13","8","3","9","17","64",".458",".429",".647",".577","17.4","103","105","16.8","6.4","1.8","1.3","bazemke01"
"465","NOH, NOP","14","6","200","21","62","4","24","15","23","2","28","11","6","5","10","17","61",".339",".167",".652",".423","18.4","83","113","14.3","4.4","2.0","0.8","bazemke01"
"466","New York","11","8","319","50","115","21","51","19","20","5","41","33","9","1","14","26","140",".435",".412",".950",".565","19.2","112","109","29.0","12.7","3.7","3.0","bazemke01"
"467","Oklahoma City","13","3","229","38","93","11","33","11","19","3","37","18","10","5","15","19","98",".409",".333",".579",".483","22.6","88","113","17.6","7.5","2.8","1.4","bazemke01"
"468","Orlando","14","5","267","42","88","13","26","11","15","9","44","27","9","4","16","23","108",".477",".500",".733",".571","18.6","107","103","19.0","7.7","3.1","1.9","bazemke01"
"469","Philadelphia","13","8","268","50","108","14","40","17","25","3","49","20","14","10","21","19","131",".463",".350",".680",".550","22.4","97","90","20.6","10.1","3.8","1.5","bazemke01"
"470","Phoenix","11","4","209","33","70","12","30","15","23","7","46","16","15","2","16","19","93",".471",".400",".652",".580","20.0","102","92","19.0","8.5","4.2","1.5","bazemke01"
"471","Portland","10","4","183","32","59","13","26","13","21","1","31","15","5","2","9","14","90",".542",".500",".619",".659","18.6","117","106","18.3","9.0","3.1","1.5","bazemke01"
"472","Sacramento","8","5","179","30","76","9","32","5","7","4","25","14","11","4","11","16","74",".395",".281",".714",".468","22.2","90","105","22.4","9.3","3.1","1.8","bazemke01"
"473","San Antonio","12","1","172","23","62","4","19","13","22","1","20","7","15","2","12","15","63",".371",".211",".591",".439","21.3","78","109","14.3","5.3","1.7","0.6","bazemke01"
"474","Toronto","12","3","183","25","64","8","25","12","22","6","29","7","4","7","9","22","70",".391",".320",".545",".475","20.0","91","115","15.2","5.8","2.4","0.6","bazemke01"
"475","Utah","11","3","113","14","34","3","9","5","7","1","15","4","6","0","4","12","36",".412",".333",".714",".485","17.1","85","99","10.3","3.3","1.4","0.4","bazemke01"
"476","Washington","15","9","243","27","82","8","33","14","20","5","31","21","11","5","21","21","76",".329",".242",".700",".419","19.8","74","104","16.2","5.1","2.1","1.4","bazemke01"
"477","Total","614","216","14204","2102","4946","818","2150","876","1061","137","1252","1014","361","41","634","935","5898",".425",".380",".826",".545","19.4","105","110","23.1","9.6","2.0","1.7","belinma01"
"478","Home","299","105","6874","981","2360","402","1072","447","538","58","583","509","174","22","312","465","2811",".416",".375",".831",".541","19.4","104","110","23.0","9.4","1.9","1.7","belinma01"
"479","Road","315","111","7330","1121","2586","416","1078","429","523","79","669","505","187","19","322","470","3087",".433",".386",".820",".548","19.4","105","111","23.3","9.8","2.1","1.6","belinma01"
"480","Pre","421","143","9865","1439","3391","552","1477","648","791","96","869","699","259","27","460","647","4078",".424",".374",".819",".545","19.3","104","111","23.4","9.7","2.1","1.7","belinma01"
"481","Post","193","73","4339","663","1555","266","673","228","270","41","383","315","102","14","174","288","1820",".426",".395",".844",".544","19.6","105","110","22.5","9.4","2.0","1.6","belinma01"
"482","Win","312","98","6973","1045","2344","411","1007","510","601","60","654","564","175","22","286","492","3011",".446",".408",".849",".577","19.1","112","104","22.3","9.7","2.1","1.8","belinma01"
"483","Loss","302","118","7232","1057","2602","407","1143","366","460","77","598","450","186","19","348","443","2887",".406",".356",".796",".515","19.7","98","116","23.9","9.6","2.0","1.5","belinma01"
"484","October","16","4","370","43","113","20","50","28","33","0","29","31","11","1","11","21","134",".381",".400",".848",".525","16.7","106","107","23.1","8.4","1.8","1.9","belinma01"
"485","November","114","18","2275","324","756","156","370","152","185","21","196","161","55","10","106","150","956",".429",".422",".822",".571","18.6","107","110","20.0","8.4","1.7","1.4","belinma01"
"486","December","127","51","3264","498","1165","179","480","191","233","45","303","209","87","6","155","214","1366",".427",".373",".820",".539","19.6","103","111","25.7","10.8","2.4","1.6","belinma01"
"487","January","116","48","2733","377","922","124","382","191","235","20","236","208","78","4","145","182","1069",".409",".325",".813",".521","19.7","99","110","23.6","9.2","2.0","1.8","belinma01"
"488","February","81","30","1903","299","666","109","292","127","151","19","165","147","42","7","73","132","834",".449",".373",".841",".569","19.2","111","112","23.5","10.3","2.0","1.8","belinma01"
"489","March","104","46","2492","379","890","160","376","129","149","22","226","182","59","12","105","162","1047",".426",".426",".866",".548","19.6","106","110","24.0","10.1","2.2","1.8","belinma01"
"490","April","56","19","1167","182","434","70","200","58","75","10","97","76","29","1","39","74","492",".419",".350",".773",".527","20.3","104","111","20.8","8.8","1.7","1.4","belinma01"
"491","Sunday","73","27","1552","195","516","75","229","94","114","15","135","110","38","2","71","100","559",".378",".328",".825",".494","18.8","96","111","21.3","7.7","1.8","1.5","belinma01"
"492","Monday","87","38","2187","334","783","124","347","143","170","23","192","165","58","5","92","129","935",".427",".357",".841",".545","19.8","106","111","25.1","10.7","2.2","1.9","belinma01"
"493","Tuesday","64","21","1418","217","511","92","232","94","110","12","132","96","30","5","59","94","620",".425",".397",".855",".554","19.8","106","112","22.2","9.7","2.1","1.5","belinma01"
"494","Wednesday","148","47","3371","535","1188","207","509","203","247","30","289","228","80","9","136","219","1480",".450",".407",".822",".571","19.5","109","111","22.8","10.0","2.0","1.5","belinma01"
"495","Thursday","38","13","864","125","286","47","129","66","78","4","80","59","16","5","38","56","363",".437",".364",".846",".567","18.9","107","112","22.7","9.6","2.1","1.6","belinma01"
"496","Friday","118","38","2766","408","971","149","411","166","209","37","237","216","94","11","149","196","1131",".420",".363",".794",".532","19.8","102","108","23.4","9.6","2.0","1.8","belinma01"
"497","Saturday","86","32","2046","288","691","124","293","110","133","16","187","140","45","4","89","141","810",".417",".423",".827",".540","18.7","103","110","23.8","9.4","2.2","1.6","belinma01"
"498","Starter","216","216","6268","930","2168","358","922","347","417","56","533","417","157","17","280","423","2565",".429",".388",".832",".545","19.5","105","111","29.0","11.9","2.5","1.9","belinma01"
"499","Reserve","398","0","7937","1172","2778","460","1228","529","644","81","719","597","204","24","354","512","3333",".422",".375",".821",".544","19.3","105","110","19.9","8.4","1.8","1.5","belinma01"
"500","40+","20","18","860","131","305","57","127","49","53","12","90","62","28","2","43","55","368",".430",".449",".925",".560","20.0","109","108","43.0","18.4","4.5","3.1","belinma01"
"501","30-39","118","84","4002","616","1393","231","565","250","307","40","361","263","98","15","181","252","1713",".442",".409",".814",".561","19.6","107","111","33.9","14.5","3.1","2.2","belinma01"
"502","20-29","271","84","6656","1021","2340","419","1078","448","538","64","588","488","154","14","278","437","2909",".436",".389",".833",".564","19.5","108","110","24.6","10.7","2.2","1.8","belinma01"
"503","10-19","147","27","2392","302","820","100","344","120","146","20","197","188","73","9","119","165","824",".368",".291",".822",".466","19.0","91","110","16.3","5.6","1.3","1.3","belinma01"
"504","0-9","58","3","294","32","88","11","36","9","17","1","16","13","8","1","13","26","84",".364",".306",".529",".440","16.4","80","115","5.1","1.4","0.3","0.2","belinma01"
"505","0 Days","138","50","3461","504","1197","204","521","245","305","37","340","235","83","10","158","217","1457",".421",".392",".803",".547","19.7","105","110","25.1","10.6","2.5","1.7","belinma01"
"506","1 Day","319","121","7591","1144","2657","432","1140","429","517","76","673","532","193","21","330","491","3149",".431",".379",".830",".546","19.3","105","110","23.8","9.9","2.1","1.7","belinma01"
"507","2 Days","82","31","1850","252","628","96","284","117","137","13","143","144","63","7","89","122","717",".401",".338",".854",".521","19.3","100","112","22.6","8.7","1.7","1.8","belinma01"
"508","3+ Days","65","11","1081","171","389","74","171","70","85","10","72","84","20","3","50","96","486",".440",".433",".824",".570","19.8","108","112","16.6","7.5","1.1","1.3","belinma01"
"509","Eastern","269","89","6305","925","2154","340","922","445","536","60","570","477","168","19","273","422","2635",".429",".369",".830",".551","19.3","106","109","23.4","9.8","2.1","1.8","belinma01"
"510","Western","345","127","7899","1177","2792","478","1228","431","525","77","682","537","193","22","361","513","3263",".422",".389",".821",".540","19.5","103","112","22.9","9.5","2.0","1.6","belinma01"
"511","Atlantic","92","33","2225","322","743","123","317","154","177","19","204","172","71","5","96","141","921",".433",".388",".870",".561","18.9","108","108","24.2","10.0","2.2","1.9","belinma01"
"512","Central","94","31","2269","345","774","124","330","169","212","27","209","151","57","9","95","171","983",".446",".376",".797",".567","19.3","109","110","24.1","10.5","2.2","1.6","belinma01"
"513","Northwest","120","45","2805","438","966","177","407","137","165","28","232","173","74","6","139","177","1190",".453",".435",".830",".573","19.1","106","113","23.4","9.9","1.9","1.4","belinma01"
"514","Pacific","114","45","2611","362","949","151","430","150","175","22","225","186","62","8","110","192","1025",".381",".351",".857",".500","19.5","99","111","22.9","9.0","2.0","1.6","belinma01"
"515","Southeast","83","25","1810","258","637","93","275","122","147","14","157","154","40","5","82","110","731",".405",".338",".830",".521","19.8","102","108","21.8","8.8","1.9","1.9","belinma01"
"516","Southwest","111","37","2483","377","877","150","391","144","185","27","225","178","57","8","112","144","1048",".430",".384",".778",".547","19.9","104","111","22.4","9.4","2.0","1.6","belinma01"
