"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Split"
"165","20-29","207","48","5182","690","1707","277","758","472","556","54","390","859","134","9","344","356","2129",".404",".365",".849",".545","20.2","108","110","25.0","10.3","1.9","4.1","augusdj01",NA
"166","10-19","223","14","3443","352","1002","159","458","233","287","33","240","483","99","8","211","263","1096",".351",".347",".812",".486","17.8","97","110","15.4","4.9","1.1","2.2","augusdj01",NA
"167","0-9","21","1","142","11","34","4","18","9","11","1","13","17","2","0","9","11","35",".324",".222",".818",".451","15.9","89","111","6.8","1.7","0.6","0.8","augusdj01",NA
"168","0 Days","154","56","3772","485","1227","201","530","311","355","32","284","617","83","5","219","229","1482",".395",".379",".876",".536","19.7","109","112","24.5","9.6","1.8","4.0","augusdj01",NA
"169","1 Day","322","100","7904","1058","2626","413","1126","722","831","99","616","1329","196","12","511","501","3251",".403",".367",".869",".543","20.4","109","110","24.5","10.1","1.9","4.1","augusdj01",NA
"170","2 Days","96","19","2106","276","660","103","266","202","238","19","137","317","64","6","124","129","857",".418",".387",".849",".560","19.4","111","109","21.9","8.9","1.4","3.3","augusdj01",NA
"171","3+ Days","41","13","864","122","284","48","116","64","78","6","58","143","23","1","65","70","356",".430",".414",".821",".559","20.6","105","111","21.1","8.7","1.4","3.5","augusdj01",NA
"172","Eastern","372","127","9125","1200","2983","468","1249","833","961","107","679","1494","230","15","562","564","3701",".402",".375",".867",".543","20.2","109","110","24.5","9.9","1.8","4.0","augusdj01",NA
"173","Western","250","63","5731","765","1882","303","817","492","571","51","432","943","142","9","374","379","2325",".406",".371",".862",".545","19.9","108","111","22.9","9.3","1.7","3.8","augusdj01",NA
"174","Atlantic","130","43","3134","406","998","151","421","290","336","35","250","521","80","3","206","184","1253",".407",".359",".863",".547","19.9","108","109","24.1","9.6","1.9","4.0","augusdj01",NA
"175","Central","116","43","2933","374","936","142","380","292","336","38","218","486","72","7","172","183","1182",".400",".374",".869",".545","20.0","110","112","25.3","10.2","1.9","4.2","augusdj01",NA
"176","Northwest","80","20","1817","224","600","91","280","166","194","17","142","281","30","4","116","115","705",".373",".325",".856",".514","20.2","104","112","22.7","8.8","1.8","3.5","augusdj01",NA
"177","Pacific","82","17","1841","255","591","102","257","163","191","18","150","309","50","4","123","135","775",".431",".397",".853",".574","19.3","112","109","22.5","9.5","1.8","3.8","augusdj01",NA
"178","Southeast","126","41","3057","420","1049","175","448","251","289","34","211","487","78","5","184","197","1266",".400",".391",".869",".538","20.8","108","110","24.3","10.0","1.7","3.9","augusdj01",NA
"179","Southwest","88","26","2073","286","691","110","280","163","186","16","140","353","62","1","135","129","845",".414",".393",".876",".547","20.2","109","111","23.6","9.6","1.6","4.0","augusdj01",NA
"180","Atlanta","33","10","743","109","280","43","119","48","55","11","47","122","18","2","38","54","309",".389",".361",".873",".508","21.8","106","113","22.5","9.4","1.4","3.7","augusdj01",NA
"181","Boston","24","8","598","62","179","23","67","67","78","5","31","90","10","0","45","43","214",".346",".343",".859",".502","20.0","97","112","24.9","8.9","1.3","3.8","augusdj01",NA
"182","CHA, CHO","13","4","307","51","121","27","64","38","44","0","17","42","8","1","16","22","167",".421",".422",".864",".595","23.4","116","105","23.6","12.8","1.3","3.2","augusdj01",NA
"183","Chicago","22","6","497","52","139","21","60","50","58","7","30","70","13","2","29","25","175",".374",".350",".862",".532","18.2","106","113","22.6","8.0","1.4","3.2","augusdj01",NA
"184","Cleveland","22","9","628","99","208","40","83","57","62","9","53","116","19","1","41","28","295",".476",".482",".919",".627","20.7","121","113","28.5","13.4","2.4","5.3","augusdj01",NA
"185","Dallas","21","4","520","71","177","29","72","35","40","3","36","64","12","1","24","25","206",".401",".403",".875",".529","18.8","109","113","24.8","9.8","1.7","3.0","augusdj01",NA
"186","Denver","16","5","347","45","107","22","58","41","46","2","25","66","7","2","31","22","153",".421",".379",".891",".601","20.5","109","108","21.7","9.6","1.6","4.1","augusdj01",NA
"187","Detroit","22","10","565","86","181","29","75","64","74","5","40","112","11","1","29","47","265",".475",".387",".865",".620","20.7","125","113","25.7","12.0","1.8","5.1","augusdj01",NA
"188","Golden State","13","3","289","43","86","17","37","23","27","1","21","48","9","2","26","26","126",".500",".459",".852",".644","18.9","114","111","22.2","9.7","1.6","3.7","augusdj01",NA
"189","Houston","17","6","408","51","121","19","50","42","49","4","36","66","12","0","31","33","163",".421",".380",".857",".572","19.2","108","109","24.0","9.6","2.1","3.9","augusdj01",NA
"190","Indiana","23","9","588","61","195","22","67","56","67","9","52","87","9","3","37","44","200",".313",".328",".836",".445","20.1","95","114","25.6","8.7","2.3","3.8","augusdj01",NA
"191","LA Clippers","17","6","402","43","126","17","59","27","31","4","22","61","6","1","24","24","130",".341",".288",".871",".465","18.5","97","117","23.6","7.6","1.3","3.6","augusdj01",NA
"192","LA Lakers","18","4","422","72","153","33","66","40","47","10","46","77","11","1","25","24","217",".471",".500",".851",".625","20.8","123","105","23.5","12.1","2.6","4.3","augusdj01",NA
"193","Memphis","18","5","391","51","122","25","57","26","31","4","22","79","14","0","31","33","153",".418",".439",".839",".564","20.3","109","107","21.7","8.5","1.2","4.4","augusdj01",NA
"194","Miami","27","10","670","81","211","35","86","53","60","8","46","97","12","1","48","38","250",".384",".407",".883",".527","19.9","102","114","24.8","9.3","1.7","3.6","augusdj01",NA
"195","Milwaukee","27","9","656","76","213","30","95","65","75","8","43","101","20","0","36","39","247",".357",".316",".867",".502","20.0","105","109","24.3","9.1","1.6","3.7","augusdj01",NA
"196","Minnesota","19","6","490","65","178","27","79","34","39","6","42","83","5","0","31","36","191",".365",".342",".872",".489","21.0","103","114","25.8","10.1","2.2","4.4","augusdj01",NA
"197","NJN, BRK","27","10","626","69","186","21","78","53","58","5","53","105","12","0","39","39","212",".371",".269",".914",".501","18.6","103","108","23.2","7.9","2.0","3.9","augusdj01",NA
"198","NOH, NOP","15","5","368","60","125","21","49","33","36","2","19","67","13","0","28","19","174",".480",".429",".917",".618","21.7","114","111","24.5","11.6","1.3","4.5","augusdj01",NA
"199","New York","26","8","612","85","206","31","91","56","66","11","64","92","14","1","38","26","257",".413",".341",".848",".547","20.1","110","109","23.5","9.9","2.5","3.5","augusdj01",NA
"200","Oklahoma City","15","4","338","44","114","20","55","32","39","4","26","45","5","0","22","22","140",".386",".364",".821",".534","20.8","103","115","22.5","9.3","1.7","3.0","augusdj01",NA
"201","Orlando","26","9","725","95","237","31","87","46","51","10","59","121","18","1","49","43","267",".401",".356",".902",".515","20.0","102","110","27.9","10.3","2.3","4.7","augusdj01",NA
"202","Philadelphia","25","8","644","90","213","32","95","54","67","8","57","106","22","1","38","38","266",".423",".337",".806",".548","20.2","110","105","25.8","10.6","2.3","4.2","augusdj01",NA
"203","Phoenix","16","2","362","46","101","16","40","38","46","2","37","62","14","0","18","32","146",".455",".400",".826",".602","16.8","124","106","22.6","9.1","2.3","3.9","augusdj01",NA
"204","Portland","13","2","289","30","96","8","41","21","24","1","18","40","7","1","15","13","89",".313",".195",".875",".418","19.4","92","112","22.2","6.8","1.4","3.1","augusdj01",NA
"205","Sacramento","18","2","367","51","125","19","55","35","40","1","24","61","10","0","30","29","156",".408",".345",".875",".547","20.9","103","107","20.4","8.7","1.3","3.4","augusdj01",NA
"206","San Antonio","17","6","385","53","146","16","52","27","30","3","27","77","11","0","21","19","149",".363",".308",".900",".468","21.5","103","115","22.7","8.8","1.6","4.5","augusdj01",NA
"207","Toronto","28","9","655","100","214","44","90","60","67","6","45","128","22","1","46","38","304",".467",".489",".896",".624","20.4","119","110","23.4","10.9","1.6","4.6","augusdj01",NA
"208","Utah","17","3","354","40","105","14","47","38","46","4","31","47","6","1","17","22","132",".381",".298",".826",".527","19.0","110","111","20.8","7.8","1.8","2.8","augusdj01",NA
"209","Washington","27","8","613","84","200","39","92","66","79","5","42","105","22","0","33","40","273",".420",".424",".835",".581","20.3","117","104","22.7","10.1","1.6","3.9","augusdj01",NA
"210","Total","23","3","282","31","79","12","36","10","15","6","39","27","13","3","18","24","84",".392",".333",".667",".491","15.8","93","116","12.3","3.7","1.7","1.2","bakerro01",NA
"211","Home","10","2","119","12","37","7","18","4","6","3","18","9","9","0","8","8","35",".324",".389",".667",".441","17.5","88","114","11.9","3.5","1.8","0.9","bakerro01",NA
"212","Road","13","1","164","19","42","5","18","6","9","3","21","18","4","3","10","16","49",".452",".278",".667",".533","14.5","98","117","12.6","3.8","1.6","1.4","bakerro01",NA
"213","Pre","23","3","282","31","79","12","36","10","15","6","39","27","13","3","18","24","84",".392",".333",".667",".491","15.8","93","116","12.3","3.7","1.7","1.2","bakerro01",NA
"214","Win","6","1","28","1","6","0","4","4","4","0","4","4","1","0","3","6","6",".167",".000","1.000",".387","16.7","81","112","4.7","1.0","0.7","0.7","bakerro01",NA
"215","Loss","17","2","254","30","73","12","32","6","11","6","35","23","12","3","15","18","78",".411",".375",".545",".501","15.7","95","116","14.9","4.6","2.1","1.4","bakerro01",NA
"216","October","1","0","7","2","3","1","1","0","0","0","1","0","0","0","0","0","5",".667","1.000",NA,".833","18.8","153","121","6.7","5.0","1.0","0.0","bakerro01",NA
"217","November","3","0","27","2","10","1","6","1","2","1","1","2","3","1","1","1","6",".200",".167",".500",".276","18.7","70","111","8.9","2.0","0.3","0.7","bakerro01",NA
"218","December","6","0","61","10","25","2","10","1","2","2","10","7","1","0","7","3","23",".400",".200",".500",".444","23.2","78","118","10.2","3.8","1.7","1.2","bakerro01",NA
"219","January","13","3","187","17","41","8","19","8","11","3","27","18","9","2","10","20","50",".415",".421",".727",".545","12.9","105","116","14.4","3.8","2.1","1.4","bakerro01",NA
"220","Sunday","2","0","32","5","7","3","5","0","0","0","4","3","0","2","2","0","13",".714",".600",NA,".929","12.6","136","117","16.0","6.5","2.0","1.5","bakerro01",NA
"221","Monday","4","1","52","7","16","4","9","2","2","1","10","6","4","0","3","6","20",".438",".444","1.000",".592","16.8","117","110","13.0","5.0","2.5","1.5","bakerro01",NA
"222","Tuesday","4","0","50","4","12","1","3","1","3","2","4","4","2","0","2","5","10",".333",".333",".333",".375","12.6","77","119","12.5","2.5","1.0","1.0","bakerro01",NA
"223","Wednesday","4","1","41","3","14","2","8","2","4","1","4","4","1","0","5","7","10",".214",".250",".500",".317","21.6","62","125","10.3","2.5","1.0","1.0","bakerro01",NA
"224","Thursday","4","1","44","7","12","1","3","0","0","1","5","3","2","0","4","2","15",".583",".333",NA,".625","15.5","96","112","11.1","3.8","1.3","0.8","bakerro01",NA
"225","Friday","2","0","20","2","6","0","3","4","4","0","2","4","1","1","0","1","8",".333",".000","1.000",".515","16.3","140","114","9.9","4.0","1.0","2.0","bakerro01",NA
"226","Saturday","3","0","43","3","12","1","5","1","2","1","10","3","3","0","2","3","8",".250",".200",".500",".311","15.3","72","115","14.3","2.7","3.3","1.0","bakerro01",NA
"227","Starter","3","3","53","5","13","4","8","0","0","2","6","1","4","0","4","10","14",".385",".500",NA,".538","13.7","90","113","17.7","4.7","2.0","0.3","bakerro01",NA
"228","Reserve","20","0","229","26","66","8","28","10","15","4","33","26","9","3","14","14","70",".394",".286",".667",".482","16.3","94","117","11.5","3.5","1.7","1.3","bakerro01",NA
"229","20-29","5","2","118","16","31","5","11","1","3","3","16","10","6","0","6","11","38",".516",".455",".333",".588","13.9","111","115","23.6","7.6","3.2","2.0","bakerro01",NA
"230","10-19","10","1","139","12","37","6","20","7","10","3","20","15","5","2","10","12","37",".324",".300",".700",".447","16.2","86","118","13.9","3.7","2.0","1.5","bakerro01",NA
"231","0-9","8","0","26","3","11","1","5","2","2","0","3","2","2","1","2","1","9",".273",".200","1.000",".379","22.5","72","108","3.2","1.1","0.4","0.3","bakerro01",NA
"232","0 Days","4","2","64","7","21","5","13","2","4","2","8","4","5","0","3","8","21",".333",".385",".500",".461","17.3","95","116","16.0","5.3","2.0","1.0","bakerro01",NA
"233","1 Day","6","1","118","14","29","2","7","1","3","2","20","10","4","0","8","11","31",".483",".286",".333",".511","14.0","91","117","19.6","5.2","3.3","1.7","bakerro01",NA
"234","2 Days","3","0","19","2","5","1","4","0","0","0","3","1","1","2","1","0","5",".400",".250",NA,".500","14.1","85","108","6.3","1.7","1.0","0.3","bakerro01",NA
