"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Split"
"7369","March","26","23","826","135","286","9","29","39","72","44","130","207","39","9","73","63","318",".472",".310",".542",".501","20.6","105","111","31.8","12.2","5.0","8.0","paytoel01",NA
"7370","April","15","15","512","57","140","4","17","25","42","16","60","125","35","7","34","26","143",".407",".235",".595",".451","16.7","102","106","34.1","9.5","4.0","8.3","paytoel01",NA
"7371","Sunday","29","23","851","113","275","11","40","42","75","36","127","177","36","9","76","79","279",".411",".275",".560",".453","19.9","95","111","29.3","9.6","4.4","6.1","paytoel01",NA
"7372","Monday","28","22","773","113","252","10","28","37","67","18","84","159","47","8","54","56","273",".448",".357",".552",".485","19.7","101","107","27.6","9.8","3.0","5.7","paytoel01",NA
"7373","Tuesday","22","17","645","106","228","11","30","35","58","25","71","145","30","10","54","56","258",".465",".367",".603",".509","21.1","104","109","29.3","11.7","3.2","6.6","paytoel01",NA
"7374","Wednesday","46","37","1427","203","484","13","51","63","112","66","218","311","76","12","112","95","482",".419",".255",".563",".452","20.0","98","108","31.0","10.5","4.7","6.8","paytoel01",NA
"7375","Thursday","9","6","266","32","84","3","15","9","17","5","32","55","8","2","32","15","76",".381",".200",".529",".415","20.4","82","109","29.5","8.4","3.6","6.1","paytoel01",NA
"7376","Friday","48","39","1450","214","456","21","61","80","125","50","188","313","64","16","110","117","529",".469",".344",".640",".518","19.1","106","107","30.2","11.0","3.9","6.5","paytoel01",NA
"7377","Saturday","23","18","688","98","225","5","22","41","69","27","84","142","30","9","48","45","242",".436",".227",".594",".474","20.1","101","108","29.9","10.5","3.7","6.2","paytoel01",NA
"7378","Starter","162","162","5010","710","1634","57","186","259","431","189","667","1067","243","52","401","376","1736",".435",".306",".601",".476","19.7","100","108","30.9","10.7","4.1","6.6","paytoel01",NA
"7379","Reserve","43","0","1091","169","370","17","61","48","92","38","137","235","48","14","85","87","403",".457",".279",".522",".491","20.7","102","111","25.4","9.4","3.2","5.5","paytoel01",NA
"7380","40+","9","9","370","58","118","4","13","22","34","10","56","82","22","3","22","23","142",".492",".308",".647",".534","18.2","114","103","41.1","15.8","6.2","9.1","paytoel01",NA
"7381","30-39","98","90","3398","511","1135","40","128","211","346","132","450","755","174","40","248","249","1273",".450",".313",".610",".494","20.1","105","108","34.7","13.0","4.6","7.7","paytoel01",NA
"7382","20-29","81","52","2077","287","672","26","94","67","133","66","259","415","87","20","185","166","667",".427",".277",".504",".457","19.9","92","109","25.6","8.2","3.2","5.1","paytoel01",NA
"7383","10-19","14","9","234","20","74","4","12","6","9","19","39","45","7","3","30","23","50",".270",".333",".667",".321","21.1","72","115","16.7","3.6","2.8","3.2","paytoel01",NA
"7384","0-9","3","2","21","3","5","0","0","1","1","0","0","5","1","0","1","2","7",".600",NA,"1.000",".643","15.0","131","111","6.9","2.3","0.0","1.7","paytoel01",NA
"7385","0 Days","43","31","1276","184","409","16","51","55","104","36","150","287","68","17","87","96","439",".450",".314",".529",".483","19.2","102","107","29.7","10.2","3.5","6.7","paytoel01",NA
"7386","1 Day","125","100","3676","516","1184","43","160","195","325","136","486","774","165","35","302","291","1270",".436",".269",".600",".479","19.7","100","109","29.4","10.2","3.9","6.2","paytoel01",NA
"7387","2 Days","23","21","716","118","254","9","19","42","70","28","94","155","40","8","67","49","287",".465",".474",".600",".504","22.0","101","107","31.1","12.5","4.1","6.7","paytoel01",NA
"7388","3+ Days","11","7","329","50","122","5","12","7","16","18","55","66","16","4","22","20","112",".410",".417",".438",".434","20.5","96","105","29.9","10.2","5.0","6.0","paytoel01",NA
"7389","Eastern","126","97","3662","507","1162","40","143","196","331","131","467","793","165","42","306","259","1250",".436",".280",".592",".478","19.8","99","109","29.1","9.9","3.7","6.3","paytoel01",NA
"7390","Western","79","65","2438","372","842","34","104","111","192","96","337","509","126","24","180","204","889",".442",".327",".578",".480","20.0","102","108","30.9","11.3","4.3","6.4","paytoel01",NA
"7391","Atlantic","44","33","1235","161","365","9","40","69","125","41","157","279","52","17","97","90","400",".441",".225",".552",".476","18.7","101","107","28.1","9.1","3.6","6.3","paytoel01",NA
"7392","Central","43","36","1248","177","395","12","49","55","89","46","168","265","55","14","115","94","421",".448",".245",".618",".485","19.6","97","109","29.0","9.8","3.9","6.2","paytoel01",NA
"7393","Northwest","26","23","857","147","318","12","36","53","80","37","132","162","45","7","55","79","359",".462",".333",".663",".508","20.9","108","107","33.0","13.8","5.1","6.2","paytoel01",NA
"7394","Pacific","26","18","752","109","266","14","40","22","56","29","97","179","41","5","61","60","254",".410",".350",".393",".437","20.4","96","108","28.9","9.8","3.7","6.9","paytoel01",NA
"7395","Southeast","39","28","1179","169","402","19","54","72","117","44","142","249","58","11","94","75","429",".420",".352",".615",".473","21.3","98","110","30.2","11.0","3.6","6.4","paytoel01",NA
"7396","Southwest","27","24","829","116","258","8","28","36","56","30","108","168","40","12","64","65","276",".450",".286",".643",".488","18.7","101","107","30.7","10.2","4.0","6.2","paytoel01",NA
"7397","Atlanta","10","7","304","53","117","10","19","17","31","8","31","71","19","4","28","18","133",".453",".526",".548",".509","23.9","100","107","30.4","13.3","3.1","7.1","paytoel01",NA
"7398","Boston","10","7","292","47","102","4","10","16","35","8","37","51","9","3","25","24","114",".461",".400",".457",".486","21.3","96","111","29.2","11.4","3.7","5.1","paytoel01",NA
"7399","Charlotte","9","6","250","30","88","2","13","9","16","12","36","57","7","1","15","11","71",".341",".154",".563",".374","20.3","92","114","27.8","7.9","4.0","6.3","paytoel01",NA
