"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Split"
"5557","Atlantic","8","0","187","25","76","10","34","15","20","11","52","10","2","3","16","10","75",".329",".294",".750",".442","23.6","86","109","23.4","9.4","6.5","1.3","saricda01",NA
"5558","Central","9","3","204","30","69","8","21","15","16","9","52","20","4","3","21","19","83",".435",".381",".938",".546","21.0","96","108","22.6","9.2","5.8","2.2","saricda01",NA
"5559","Northwest","8","2","204","30","83","7","29","13","18","15","49","15","5","3","15","14","80",".361",".241",".722",".440","22.5","88","110","25.5","10.0","6.1","1.9","saricda01",NA
"5560","Pacific","6","0","152","25","57","8","23","12","13","8","36","15","4","2","6","10","70",".439",".348",".923",".558","19.8","116","111","25.3","11.7","6.0","2.5","saricda01",NA
"5561","Southeast","10","4","236","37","98","17","41","6","10","8","51","10","7","0","22","13","97",".378",".415",".600",".474","23.7","79","109","23.6","9.7","5.1","1.0","saricda01",NA
"5562","Southwest","6","1","133","20","51","7","23","11","14","7","30","10","3","2","7","11","58",".392",".304",".786",".507","21.2","98","106","22.2","9.7","5.0","1.7","saricda01",NA
"5563","Atlanta","3","2","69","8","32","4","12","0","0","1","15","4","3","0","6","1","20",".250",".333",NA,".313","24.3","57","110","23.1","6.7","5.0","1.3","saricda01",NA
"5564","Boston","2","0","50","10","21","3","9","6","6","4","17","3","1","0","5","0","29",".476",".333","1.000",".613","26.5","107","114","25.0","14.5","8.5","1.5","saricda01",NA
"5565","Charlotte","2","1","50","10","23","6","10","3","5","5","13","3","2","0","5","3","29",".435",".600",".600",".575","26.9","101","108","25.1","14.5","6.5","1.5","saricda01",NA
"5566","Chicago","2","0","39","3","12","0","3","4","4","1","10","4","0","0","4","4","10",".250",".000","1.000",".363","19.8","71","115","19.4","5.0","5.0","2.0","saricda01",NA
"5567","Cleveland","2","1","37","5","14","2","5","1","2","1","11","5","0","1","5","7","13",".357",".400",".500",".437","23.0","77","108","18.7","6.5","5.5","2.5","saricda01",NA
"5568","Denver","2","0","53","10","23","3","10","7","10","5","19","5","1","0","3","6","30",".435",".300",".700",".547","24.3","116","116","26.3","15.0","9.5","2.5","saricda01",NA
"5569","Detroit","1","0","20","1","3","0","0","2","2","1","2","2","0","0","2","0","4",".333",NA,"1.000",".515","14.9","93","97","19.9","4.0","2.0","2.0","saricda01",NA
"5570","Houston","2","1","45","8","20","1","4","6","8","1","10","4","1","1","2","2","23",".400",".250",".750",".489","24.3","98","117","22.5","11.5","5.0","2.0","saricda01",NA
"5571","Indiana","2","2","62","8","15","3","4","3","3","2","17","5","3","2","7","5","22",".533",".750","1.000",".674","16.6","101","104","31.2","11.0","8.5","2.5","saricda01",NA
"5572","LA Clippers","1","0","26","4","10","0","2","8","9","1","8","2","1","1","0","2","16",".400",".000",".889",".573","24.9","128","109","25.7","16.0","8.0","2.0","saricda01",NA
"5573","LA Lakers","1","0","20","2","8","1","4","2","2","2","3","0","0","0","1","1","7",".250",".250","1.000",".394","20.9","86","109","19.7","7.0","3.0","0.0","saricda01",NA
"5574","Memphis","2","0","47","7","18","4","11","2","3","4","12","2","1","0","3","7","20",".389",".364",".667",".518","20.8","93","96","23.7","10.0","6.0","1.0","saricda01",NA
"5575","Miami","1","0","17","1","4","1","3","0","0","0","4","0","0","0","0","3","3",".250",".333",NA,".375","11.5","78","102","16.6","3.0","4.0","0.0","saricda01",NA
"5576","Milwaukee","2","0","45","13","25","3","9","5","5","4","12","4","1","0","3","3","34",".520",".333","1.000",".625","29.3","124","110","22.6","17.0","6.0","2.0","saricda01",NA
"5577","Minnesota","2","0","51","9","19","2","7","4","5","5","11","2","4","1","4","4","24",".474",".286",".800",".566","21.7","105","104","25.6","12.0","5.5","1.0","saricda01",NA
"5578","New Jersey","2","0","54","8","23","4","11","5","6","2","13","2","1","0","5","3","25",".348",".364",".833",".488","23.1","88","100","27.1","12.5","6.5","1.0","saricda01",NA
"5579","New Orleans","2","0","41","5","13","2","8","3","3","2","8","4","1","1","2","2","15",".385",".250","1.000",".524","18.0","103","103","20.5","7.5","4.0","2.0","saricda01",NA
"5580","New York","1","0","21","1","8","1","3","0","0","1","3","0","0","0","0","0","3",".125",".333",NA,".188","15.3","56","108","21.2","3.0","3.0","0.0","saricda01",NA
"5581","Oklahoma City","1","1","27","2","12","0","4","1","2","1","7","2","0","0","2","3","5",".167",".000",".500",".194","24.1","45","105","27.5","5.0","7.0","2.0","saricda01",NA
"5582","Orlando","2","1","48","10","19","3","5","0","0","1","3","1","1","0","5","2","23",".526",".600",NA,".605","23.1","87","116","23.8","11.5","1.5","0.5","saricda01",NA
"5583","Phoenix","2","0","53","6","17","4","9","2","2","2","11","5","2","1","3","5","18",".353",".444","1.000",".503","17.0","101","110","26.3","9.0","5.5","2.5","saricda01",NA
"5584","Portland","1","0","24","1","12","1","5","0","0","2","6","3","0","1","2","0","3",".083",".200",NA,".125","23.6","45","95","24.1","3.0","6.0","3.0","saricda01",NA
"5585","Sacramento","2","0","54","13","22","3","8","0","0","3","14","8","1","0","2","2","29",".591",".375",NA,".659","19.7","133","115","26.9","14.5","7.0","4.0","saricda01",NA
"5586","Toronto","3","0","61","6","24","2","11","4","8","4","19","5","0","3","6","7","18",".250",".182",".500",".327","24.6","70","115","20.5","6.0","6.3","1.7","saricda01",NA
"5587","Utah","2","1","48","8","17","1","3","1","1","2","6","3","0","1","4","1","18",".471",".333","1.000",".516","20.2","91","118","24.2","9.0","3.0","1.5","saricda01",NA
