"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"90","Saturday","47","13","609","90","182","2","6","33","42","64","174","17","11","28","35","101","215",".495",".786",".536","17.6","101","111","12.9","4.6","3.7","0.4","ajincal01",".333",NA
"91","Starter","71","71","1297","196","390","0","3","69","83","110","352","49","24","57","101","204","461",".503",".831",".540","18.7","97","109","18.3","6.5","5.0","0.7","ajincal01",".000",NA
"92","Reserve","204","0","2319","400","801","12","38","163","206","212","712","89","66","117","134","416","975",".499",".791",".547","20.3","104","105","11.4","4.8","3.5","0.4","ajincal01",".316",NA
"93","30-39","6","5","203","52","88","0","0","20","24","18","53","10","6","7","15","23","124",".591",".833",".629","25.6","117","105","33.9","20.7","8.8","1.7","ajincal01",NA,NA
"94","20-29","54","21","1297","228","441","2","9","97","113","131","429","67","27","67","75","179","555",".517",".858",".565","20.2","110","107","24.0","10.3","7.9","1.2","ajincal01",".222",NA
"95","10-19","111","38","1572","235","476","7","25","82","104","134","442","48","41","80","112","304","559",".494",".788",".536","18.3","97","106","14.2","5.0","4.0","0.4","ajincal01",".280",NA
"96","0-9","104","7","545","81","186","3","7","33","48","39","140","13","16","20","33","114","198",".435",".688",".478","20.4","86","107","5.2","1.9","1.3","0.1","ajincal01",".429",NA
"97","0 Days","57","20","867","140","292","3","8","47","65","85","260","35","21","42","55","157","330",".479",".723",".515","19.6","99","107","15.2","5.8","4.6","0.6","ajincal01",".375",NA
"98","1 Day","117","38","1718","288","565","2","14","115","138","155","512","76","42","74","117","286","693",".510",".833",".554","20.0","103","105","14.7","5.9","4.4","0.6","ajincal01",".143",NA
"99","2 Days","35","11","404","67","124","0","3","25","25","32","103","9","9","29","25","71","159",".540","1.000",".589","18.3","105","106","11.5","4.5","2.9","0.3","ajincal01",".000",NA
"100","3+ Days","59","2","565","93","191","7","16","45","61","39","169","17","16","27","32","91","238",".487",".738",".546","20.2","101","109","9.6","4.0","2.9","0.3","ajincal01",".438",NA
"101","Eastern","121","33","1556","260","526","6","21","107","133","115","422","60","40","67","112","261","633",".494",".805",".541","20.7","98","105","12.9","5.2","3.5","0.5","ajincal01",".286",NA
"102","Western","154","38","2060","336","665","6","20","125","156","207","642","78","50","107","123","359","803",".505",".801",".547","18.9","104","107","13.4","5.2","4.2","0.5","ajincal01",".300",NA
"103","Atlantic","39","12","591","111","212","1","5","37","42","49","167","31","18","21","46","98","260",".524",".881",".564","21.6","104","105","15.1","6.7","4.3","0.8","ajincal01",".200",NA
"104","Central","46","12","563","85","188","2","10","30","38","39","150","21","20","24","44","93","202",".452",".789",".493","20.6","89","103","12.2","4.4","3.3","0.5","ajincal01",".200",NA
"105","Northwest","54","14","695","99","203","4","8","46","52","65","224","25","20","41","54","134","248",".488",".885",".549","18.2","98","105","12.9","4.6","4.1","0.5","ajincal01",".500",NA
"106","Pacific","48","12","700","117","231","1","7","49","63","84","230","30","16","33","42","110","284",".506",".778",".549","19.3","107","109","14.6","5.9","4.8","0.6","ajincal01",".143",NA
"107","Southeast","36","9","403","64","126","3","6","40","53","27","105","8","2","22","22","70","171",".508",".755",".573","19.7","103","107","11.2","4.8","2.9","0.2","ajincal01",".500",NA
"108","Southwest","52","12","665","120","231","1","5","30","41","58","188","23","14","33","27","115","271",".519",".732",".544","19.3","107","108","12.8","5.2","3.6","0.4","ajincal01",".200",NA
"109","Atlanta","6","2","65","10","19","0","0","1","2","3","16","1","1","5","4","13","21",".526",".500",".528","17.3","88","105","10.8","3.5","2.7","0.2","ajincal01",NA,NA
"110","Boston","7","2","83","16","30","0","0","4","4","9","24","7","0","2","5","17","36",".533","1.000",".567","19.6","110","111","11.9","5.1","3.4","1.0","ajincal01",NA,NA
"111","CHA, CHO","5","1","43","9","13","1","2","2","4","1","10","0","0","0","5","14","21",".692",".500",".711","21.4","92","110","8.7","4.2","2.0","0.0","ajincal01",".500",NA
"112","Chicago","8","2","96","15","27","0","0","2","2","7","19","2","1","7","7","18","32",".556","1.000",".574","17.2","94","109","12.0","4.0","2.4","0.3","ajincal01",NA,NA
"113","Cleveland","7","1","68","7","20","1","2","4","7","4","18","1","3","3","7","13","19",".350",".571",".412","20.9","72","105","9.7","2.7","2.6","0.1","ajincal01",".500",NA
"114","Dallas","12","2","126","21","37","0","0","4","6","19","43","8","3","5","6","21","46",".568",".667",".580","17.5","118","115","10.5","3.8","3.6","0.7","ajincal01",NA,NA
"115","Denver","12","2","160","23","40","3","5","17","20","12","49","10","8","8","16","26","66",".575",".850",".676","18.0","108","104","13.3","5.5","4.1","0.8","ajincal01",".600",NA
"116","Detroit","10","1","86","17","35","0","2","0","1","5","28","2","2","5","6","13","34",".486",".000",".480","22.3","85","99","8.6","3.4","2.8","0.2","ajincal01",".000",NA
"117","Golden State","9","2","112","20","40","1","3","8","10","14","38","6","4","9","6","14","49",".500",".800",".552","19.4","109","113","12.4","5.4","4.2","0.7","ajincal01",".333",NA
"118","Houston","11","3","149","27","54","0","0","11","14","13","41","9","5","15","9","34","65",".500",".786",".540","20.3","107","103","13.5","5.9","3.7","0.8","ajincal01",NA,NA
"119","Indiana","8","5","166","24","53","0","2","17","20","14","48","11","9","5","13","18","65",".453",".850",".526","20.9","100","99","20.8","8.1","6.0","1.4","ajincal01",".000",NA
"120","LA Clippers","13","3","203","41","79","0","3","19","24","30","78","4","3","7","10","27","101",".519",".792",".564","21.7","115","114","15.7","7.8","6.0","0.3","ajincal01",".000",NA
"121","LA Lakers","9","2","150","27","47","0","0","17","21","17","52","8","1","7","5","20","71",".574",".810",".631","18.8","130","109","16.7","7.9","5.8","0.9","ajincal01",NA,NA
"122","Memphis","12","2","152","30","52","1","2","4","7","11","40","1","3","6","2","26","65",".577",".571",".590","17.8","114","107","12.7","5.4","3.3","0.1","ajincal01",".500",NA
"123","Miami","11","2","127","25","43","1","3","23","31","14","32","0","0","7","4","20","74",".581",".742",".653","22.5","130","111","11.6","6.7","2.9","0.0","ajincal01",".333",NA
"124","Milwaukee","13","3","147","22","53","1","4","7","8","9","37","5","5","4","11","31","52",".415",".875",".460","21.1","85","105","11.3","4.0","2.8","0.4","ajincal01",".250",NA
"125","Minnesota","12","3","166","16","44","0","1","7","7","11","53","6","5","13","13","32","39",".364","1.000",".414","16.4","80","95","13.8","3.3","4.4","0.5","ajincal01",".000",NA
"126","NJN, BRK","9","1","135","27","47","0","2","7","7","8","34","10","10","7","14","24","61",".574","1.000",".609","22.2","103","95","15.0","6.8","3.8","1.1","ajincal01",".000",NA
"127","NOH, NOP","2","0","23","5","9","0","0","3","4","2","4","1","0","0","0","4","13",".556",".750",".604","22.2","135","124","11.4","6.5","2.0","0.5","ajincal01",NA,NA
"128","New York","6","2","88","12","28","0","0","10","15","8","22","3","0","1","8","12","34",".429",".667",".491","22.4","93","114","14.7","5.7","3.7","0.5","ajincal01",NA,NA
"129","Oklahoma City","11","4","141","26","48","1","1","9","10","12","42","3","2","9","7","29","62",".542",".900",".592","18.8","108","111","12.8","5.6","3.8","0.3","ajincal01","1.000",NA
"130","Orlando","7","2","81","10","22","1","1","5","5","3","16","3","1","8","5","13","26",".455","1.000",".537","16.1","88","99","11.6","3.7","2.3","0.4","ajincal01","1.000",NA
"131","Philadelphia","9","4","133","23","49","1","3","7","7","11","50","3","2","7","10","22","54",".469","1.000",".518","21.4","95","101","14.8","6.0","5.6","0.3","ajincal01",".333",NA
"132","Phoenix","7","3","109","16","39","0","1","4","6","9","24","7","3","5","9","14","36",".410",".667",".432","21.4","81","104","15.6","5.1","3.4","1.0","ajincal01",".000",NA
"133","Portland","10","3","107","18","39","0","0","6","7","16","46","1","4","3","10","22","42",".462",".857",".499","21.8","90","108","10.7","4.2","4.6","0.1","ajincal01",NA,NA
"134","Sacramento","10","2","126","13","26","0","0","1","2","14","38","5","5","5","12","35","27",".500",".500",".502","14.2","85","103","12.6","2.7","3.8","0.5","ajincal01",NA,NA
"135","San Antonio","15","5","215","37","79","0","3","8","10","13","60","4","3","7","10","30","82",".468",".800",".492","20.3","92","108","14.3","5.5","4.0","0.3","ajincal01",".000",NA
"136","Toronto","8","3","151","33","58","0","0","9","9","13","37","8","6","4","9","23","75",".569","1.000",".605","22.0","115","109","18.9","9.4","4.6","1.0","ajincal01",NA,NA
"137","Utah","9","2","122","16","32","0","1","7","8","14","34","5","1","8","8","25","39",".500",".875",".549","16.9","107","111","13.6","4.3","3.8","0.6","ajincal01",".000",NA
"138","Washington","7","2","87","10","29","0","0","9","11","6","31","4","0","2","4","10","29",".345",".818",".428","19.9","90","107","12.4","4.1","4.4","0.6","ajincal01",NA,NA
"139","Total","299","23","3241","422","794","0","0","177","237","323","1092","177","131","229","193","482","1021",".531",".747",".568","15.4","107","101","10.8","3.4","3.7","0.6","aldrico01",NA,NA
"140","Home","151","10","1637","204","386","0","0","83","116","153","530","84","61","114","101","241","491",".528",".716",".562","14.9","105","99","10.8","3.3","3.5","0.6","aldrico01",NA,NA
"141","Road","148","13","1604","218","408","0","0","94","121","170","562","93","70","115","92","241","530",".534",".777",".575","15.9","109","102","10.8","3.6","3.8","0.6","aldrico01",NA,NA
"142","Pre","185","14","1832","232","455","0","0","85","127","171","573","105","75","97","105","291","549",".510",".669",".537","15.2","103","104","9.9","3.0","3.1","0.6","aldrico01",NA,NA
"143","Post","114","9","1408","190","339","0","0","92","110","152","519","72","56","132","88","191","472",".560",".836",".609","15.6","113","97","12.4","4.1","4.6","0.6","aldrico01",NA,NA
"144","Win","147","6","1474","191","347","0","0","97","127","133","486","71","58","112","83","250","479",".550",".764",".594","15.2","113","93","10.0","3.3","3.3","0.5","aldrico01",NA,NA
"145","Loss","152","17","1767","231","447","0","0","80","110","190","606","106","73","117","110","232","542",".517",".727",".547","15.5","103","107","11.6","3.6","4.0","0.7","aldrico01",NA,NA
"146","October","7","0","71","7","13","0","0","1","2","9","22","3","3","1","4","12","15",".538",".500",".540","11.7","105","109","10.1","2.1","3.1","0.4","aldrico01",NA,NA
"147","November","45","0","389","39","77","0","0","12","18","30","112","17","12","17","13","78","90",".506",".667",".530","11.1","107","106","8.7","2.0","2.5","0.4","aldrico01",NA,NA
"148","December","50","6","560","78","140","0","0","29","41","51","168","39","31","33","36","73","185",".557",".707",".585","15.6","108","106","11.2","3.7","3.4","0.8","aldrico01",NA,NA
"149","January","60","8","610","82","177","0","0","34","51","65","217","38","20","33","46","91","198",".463",".667",".496","18.4","95","100","10.2","3.3","3.6","0.6","aldrico01",NA,NA
"150","February","38","0","372","45","81","0","0","14","22","36","118","17","14","29","20","68","104",".556",".636",".573","13.5","109","98","9.8","2.7","3.1","0.4","aldrico01",NA,NA
"151","March","68","2","794","93","186","0","0","52","60","82","275","43","33","77","45","103","238",".500",".867",".560","15.1","108","99","11.7","3.5","4.0","0.6","aldrico01",NA,NA
"152","April","31","7","445","78","120","0","0","35","43","50","180","20","18","39","29","57","191",".650",".814",".687","17.3","123","94","14.3","6.2","5.8","0.6","aldrico01",NA,NA
"153","Sunday","45","3","474","57","115","0","0","16","26","50","176","27","21","36","28","66","130",".496",".615",".514","14.8","99","101","10.5","2.9","3.9","0.6","aldrico01",NA,NA
"154","Monday","36","2","325","49","84","0","0","23","27","29","116","16","16","29","26","45","121",".583",".852",".631","17.1","107","94","9.0","3.4","3.2","0.4","aldrico01",NA,NA
"155","Tuesday","32","0","370","42","81","0","0","20","23","38","128","12","12","18","10","58","104",".519",".870",".571","12.7","121","102","11.5","3.3","4.0","0.4","aldrico01",NA,NA
"156","Wednesday","58","7","670","88","163","0","0","50","66","64","207","35","29","54","40","91","226",".540",".758",".588","15.8","110","100","11.6","3.9","3.6","0.6","aldrico01",NA,NA
"157","Thursday","27","3","343","46","79","0","0","13","18","25","99","24","13","21","23","46","105",".582",".722",".604","14.8","109","103","12.7","3.9","3.7","0.9","aldrico01",NA,NA
"158","Friday","52","3","532","62","122","0","0","22","31","51","166","28","21","32","33","89","146",".508",".710",".538","14.6","102","102","10.2","2.8","3.2","0.5","aldrico01",NA,NA
"159","Saturday","49","5","527","78","150","0","0","33","46","66","200","35","19","39","33","87","189",".520",".717",".555","17.3","108","102","10.8","3.9","4.1","0.7","aldrico01",NA,NA
"160","Starter","23","23","597","115","205","0","0","36","52","71","213","39","28","33","43","61","266",".561",".692",".584","20.7","109","103","25.9","11.6","9.3","1.7","aldrico01",NA,NA
"161","Reserve","276","0","2644","307","589","0","0","141","185","252","879","138","103","196","150","421","755",".521",".762",".563","14.2","107","100","9.6","2.7","3.2","0.5","aldrico01",NA,NA
"162","30-39","7","7","242","38","78","0","0","6","12","30","89","15","18","11","13","17","82",".487",".500",".492","18.6","102","99","34.6","11.7","12.7","2.1","aldrico01",NA,NA
"163","20-29","28","11","673","120","199","0","0","50","62","78","244","40","23","46","32","79","290",".603",".806",".641","17.3","124","103","24.0","10.4","8.7","1.4","aldrico01",NA,NA
"164","10-19","115","4","1607","194","370","0","0","93","125","153","532","83","68","123","95","252","481",".524",".744",".566","14.9","106","100","14.0","4.2","4.6","0.7","aldrico01",NA,NA
"165","0-9","149","1","719","70","147","0","0","28","38","62","227","39","22","49","53","134","168",".476",".737",".513","13.6","92","102","4.8","1.1","1.5","0.3","aldrico01",NA,NA
"166","0 Days","54","8","725","104","189","0","0","48","61","82","265","43","39","46","54","103","256",".550",".787",".593","17.0","108","98","13.4","4.7","4.9","0.8","aldrico01",NA,NA
"167","1 Day","112","10","1283","176","322","0","0","55","81","118","457","80","54","95","81","187","407",".547",".679",".569","15.7","105","100","11.5","3.6","4.1","0.7","aldrico01",NA,NA
"168","2 Days","51","3","573","73","134","0","0","38","46","48","157","26","21","37","27","96","184",".545",".826",".596","14.3","113","103","11.2","3.6","3.1","0.5","aldrico01",NA,NA
"169","3+ Days","75","2","600","62","137","0","0","35","47","68","200","26","15","49","29","87","159",".453",".745",".504","14.1","105","101","8.0","2.1","2.7","0.3","aldrico01",NA,NA
"170","Eastern","141","13","1533","203","401","0","0","105","132","173","539","80","59","102","96","227","511",".506",".795",".557","16.6","107","100","10.9","3.6","3.8","0.6","aldrico01",NA,NA
"171","Western","158","10","1707","219","393","0","0","72","105","150","553","97","72","127","97","255","510",".557",".686",".581","14.3","107","101","10.8","3.2","3.5","0.6","aldrico01",NA,NA
"172","Atlantic","45","3","503","63","105","0","0","40","45","53","179","16","20","38","31","83","166",".600",".889",".665","14.3","119","100","11.2","3.7","4.0","0.4","aldrico01",NA,NA
"173","Central","44","5","496","62","133","0","0","36","47","51","171","34","16","37","34","64","160",".466",".766",".521","17.5","101","101","11.3","3.6","3.9","0.8","aldrico01",NA,NA
"174","Northwest","53","3","586","85","145","0","0","19","35","49","195","28","34","39","31","79","189",".586",".543",".589","15.2","108","98","11.1","3.6","3.7","0.5","aldrico01",NA,NA
"175","Pacific","54","5","625","73","141","0","0","32","42","60","198","40","23","44","28","102","178",".518",".762",".558","13.3","112","103","11.6","3.3","3.7","0.7","aldrico01",NA,NA
"176","Southeast","52","5","535","78","163","0","0","29","40","69","189","30","23","27","31","80","185",".479",".725",".512","18.1","104","100","10.3","3.6","3.6","0.6","aldrico01",NA,NA
"177","Southwest","51","2","497","61","107","0","0","21","28","41","160","29","15","44","38","74","143",".570",".750",".599","14.4","102","103","9.7","2.8","3.1","0.6","aldrico01",NA,NA
"178","Atlanta","11","1","72","8","18","0","0","5","6","13","24","1","1","7","6","10","21",".444",".833",".509","16.5","97","102","6.5","1.9","2.2","0.1","aldrico01",NA,NA
"179","Boston","8","1","90","10","13","0","0","4","5","13","34","5","2","7","7","15","24",".769",".800",".789","11.5","130","102","11.2","3.0","4.3","0.6","aldrico01",NA,NA
"180","CHA, CHO","17","1","184","20","47","0","0","2","3","26","71","7","8","8","5","26","42",".426",".667",".435","13.4","105","101","10.8","2.5","4.2","0.4","aldrico01",NA,NA
"181","Chicago","9","1","134","15","29","0","0","9","10","15","47","13","2","10","11","15","39",".517",".900",".584","15.5","108","103","14.9","4.3","5.2","1.4","aldrico01",NA,NA
"182","Cleveland","9","0","76","7","17","0","0","7","8","6","23","8","2","6","5","16","21",".412",".875",".512","15.9","104","104","8.5","2.3","2.6","0.9","aldrico01",NA,NA
"183","Dallas","10","0","58","6","11","0","0","2","4","4","22","3","1","5","6","11","14",".545",".500",".549","14.8","86","97","5.8","1.4","2.2","0.3","aldrico01",NA,NA
"184","Denver","12","0","99","7","14","0","0","4","8","8","28","4","4","8","5","17","18",".500",".500",".514","10.2","97","99","8.2","1.5","2.3","0.3","aldrico01",NA,NA
"185","Detroit","9","2","122","23","47","0","0","5","9","18","46","7","5","12","6","13","51",".489",".556",".500","21.0","103","103","13.5","5.7","5.1","0.8","aldrico01",NA,NA
"186","Golden State","7","0","76","4","16","0","0","4","4","13","26","9","2","8","4","10","12",".250","1.000",".338","12.3","96","107","10.8","1.7","3.7","1.3","aldrico01",NA,NA
"187","Houston","9","1","106","14","21","0","0","2","2","16","40","6","4","10","6","16","30",".667","1.000",".686","11.3","127","108","11.7","3.3","4.4","0.7","aldrico01",NA,NA
"188","Indiana","9","0","94","5","16","0","0","12","16","7","31","1","4","6","5","13","22",".313",".750",".477","13.6","93","95","10.5","2.4","3.4","0.1","aldrico01",NA,NA
"189","LA Clippers","13","1","116","13","28","0","0","1","2","7","30","7","4","4","1","20","27",".464",".500",".467","11.8","103","107","8.9","2.1","2.3","0.5","aldrico01",NA,NA
"190","LA Lakers","12","0","157","15","28","0","0","8","14","11","42","10","9","12","9","19","38",".536",".571",".556","12.8","105","95","13.1","3.2","3.5","0.8","aldrico01",NA,NA
"191","Memphis","12","1","126","12","25","0","0","8","9","3","32","8","5","16","11","19","32",".480",".889",".552","15.0","88","98","10.5","2.7","2.7","0.7","aldrico01",NA,NA
"192","Miami","8","1","62","13","23","0","0","6","12","8","23","4","1","4","4","6","32",".565",".500",".566","23.6","108","99","7.7","4.0","2.9","0.5","aldrico01",NA,NA
"193","Milwaukee","8","2","69","12","24","0","0","3","4","5","24","5","3","3","7","7","27",".500",".750",".524","22.0","88","96","8.7","3.4","3.0","0.6","aldrico01",NA,NA
"194","Minnesota","7","0","72","8","14","0","0","2","2","2","15","5","5","10","6","10","18",".571","1.000",".605","13.6","92","93","10.3","2.6","2.1","0.7","aldrico01",NA,NA
"195","NJN, BRK","11","0","112","9","22","0","0","10","11","11","37","3","5","6","5","16","28",".409",".909",".522","13.1","109","103","10.2","2.5","3.4","0.3","aldrico01",NA,NA
"196","NOH, NOP","9","0","78","7","16","0","0","5","6","6","25","1","2","6","6","14","19",".438",".833",".510","13.7","88","100","8.7","2.1","2.8","0.1","aldrico01",NA,NA
"197","New York","6","0","86","12","20","0","0","9","10","12","28","3","6","7","6","14","33",".600",".900",".676","16.0","125","99","14.4","5.5","4.7","0.5","aldrico01",NA,NA
"198","Oklahoma City","12","1","152","23","29","0","0","2","7","9","49","7","9","7","12","19","48",".793",".286",".748","13.1","106","105","12.7","4.0","4.1","0.6","aldrico01",NA,NA
"199","Orlando","8","1","101","16","34","0","0","4","5","12","41","9","4","5","7","21","36",".471",".800",".497","19.6","97","94","12.6","4.5","5.1","1.1","aldrico01",NA,NA
"200","Philadelphia","11","0","82","12","19","0","0","6","7","5","32","3","2","6","8","22","30",".632",".857",".679","16.7","99","92","7.5","2.7","2.9","0.3","aldrico01",NA,NA
"201","Phoenix","11","2","131","19","34","0","0","10","10","13","51","9","3","9","7","19","48",".559","1.000",".625","15.2","121","99","11.9","4.4","4.6","0.8","aldrico01",NA,NA
"202","Portland","10","1","111","16","34","0","0","3","5","17","47","4","8","6","4","12","35",".471",".600",".483","16.2","105","95","11.1","3.5","4.7","0.4","aldrico01",NA,NA
"203","Sacramento","11","2","145","22","35","0","0","9","12","16","49","5","5","11","7","34","53",".629",".750",".658","13.9","123","110","13.2","4.8","4.5","0.5","aldrico01",NA,NA
"204","San Antonio","11","0","129","22","34","0","0","4","7","12","41","11","3","7","9","14","48",".647",".571",".647","16.5","115","107","11.7","4.4","3.7","1.0","aldrico01",NA,NA
"205","Toronto","9","2","132","20","31","0","0","11","12","12","48","2","5","12","5","16","51",".645",".917",".703","14.4","130","103","14.7","5.7","5.3","0.2","aldrico01",NA,NA
"206","Utah","12","1","153","31","54","0","0","8","13","13","56","8","8","8","4","21","70",".574",".615",".586","20.5","121","95","12.7","5.8","4.7","0.7","aldrico01",NA,NA
"207","Washington","8","1","116","21","41","0","0","12","14","10","30","9","9","3","9","17","54",".512",".857",".573","22.1","108","101","14.5","6.8","3.8","1.1","aldrico01",NA,NA
"208","Total","474","110","6952","389","762","0","0","265","399","555","1327","96","125","525","223","809","1043",".510",".664",".556","7.9","109","104","14.7","2.2","2.8","0.2","anthojo01",NA,NA
"209","Home","238","52","3542","212","405","0","0","134","198","275","651","44","54","264","115","406","558",".523",".677",".567","8.1","110","102","14.9","2.3","2.7","0.2","anthojo01",NA,NA
"210","Road","236","58","3409","177","357","0","0","131","201","280","676","52","71","261","108","403","485",".496",".652",".544","7.6","108","105","14.4","2.1","2.9","0.2","anthojo01",NA,NA
"211","Pre","299","79","4266","210","441","0","0","160","235","340","807","65","70","333","135","517","580",".476",".681",".533","7.4","108","103","14.3","1.9","2.7","0.2","anthojo01",NA,NA
"212","Post","175","31","2686","179","321","0","0","105","164","215","520","31","55","192","88","292","463",".558",".640",".589","8.6","112","104","15.3","2.6","3.0","0.2","anthojo01",NA,NA
"213","Win","292","76","4401","249","484","0","0","183","268","326","819","61","75","348","140","508","681",".514",".683",".566","7.9","112","99","15.1","2.3","2.8","0.2","anthojo01",NA,NA
"214","Loss","182","34","2550","140","278","0","0","82","131","229","508","35","50","177","83","301","362",".504",".626",".539","7.8","106","111","14.0","2.0","2.8","0.2","anthojo01",NA,NA
"215","October","9","4","159","5","11","0","0","3","6","14","35","4","2","11","4","25","13",".455",".500",".477","5.2","109","94","17.7","1.4","3.9","0.4","anthojo01",NA,NA
"216","November","64","8","687","34","82","0","0","29","47","61","134","14","9","62","25","101","97",".415",".617",".472","8.7","100","105","10.7","1.5","2.1","0.2","anthojo01",NA,NA
"217","December","77","19","1163","76","139","0","0","52","75","95","223","10","22","94","29","143","204",".547",".693",".593","8.0","119","103","15.1","2.6","2.9","0.1","anthojo01",NA,NA
"218","January","103","33","1538","69","147","0","0","54","73","116","284","27","25","112","54","159","192",".469",".740",".536","7.1","106","104","14.9","1.9","2.8","0.3","anthojo01",NA,NA
"219","February","69","15","968","37","87","0","0","35","53","76","180","16","15","64","29","116","109",".425",".660",".494","6.8","104","103","14.0","1.6","2.6","0.2","anthojo01",NA,NA
"220","March","89","21","1345","90","159","0","0","57","85","104","252","13","29","106","49","168","237",".566",".671",".603","8.8","111","104","15.1","2.7","2.8","0.1","anthojo01",NA,NA
"221","April","63","10","1092","78","137","0","0","35","60","89","219","12","23","76","33","97","191",".569",".583",".584","8.6","112","103","17.3","3.0","3.5","0.2","anthojo01",NA,NA
"222","Sunday","64","19","1031","66","124","0","0","36","56","66","169","11","9","68","26","115","168",".532",".643",".565","8.0","111","104","16.1","2.6","2.6","0.2","anthojo01",NA,NA
"223","Monday","53","12","825","43","86","0","0","36","57","74","163","11","17","53","21","89","122",".500",".632",".549","7.6","116","107","15.6","2.3","3.1","0.2","anthojo01",NA,NA
"224","Tuesday","69","16","927","57","95","0","0","30","52","78","192","10","16","75","33","109","144",".600",".577",".611","7.6","110","101","13.4","2.1","2.8","0.1","anthojo01",NA,NA
"225","Wednesday","96","17","1363","72","142","0","0","62","91","120","278","27","33","120","46","151","206",".507",".681",".566","7.8","112","103","14.2","2.1","2.9","0.3","anthojo01",NA,NA
"226","Thursday","38","7","549","33","57","0","0","18","28","45","107","5","10","34","24","76","84",".579",".643",".606","8.0","107","103","14.5","2.2","2.8","0.1","anthojo01",NA,NA
"227","Friday","86","24","1299","67","142","0","0","51","69","101","244","19","26","95","41","161","185",".472",".739",".537","7.8","108","104","15.1","2.2","2.8","0.2","anthojo01",NA,NA
"228","Saturday","68","15","958","51","116","0","0","32","46","71","174","13","14","80","32","108","134",".440",".696",".492","8.3","101","102","14.1","2.0","2.6","0.2","anthojo01",NA,NA
"229","Starter","110","110","2434","137","266","0","0","79","111","182","454","30","52","160","73","257","353",".515",".712",".561","7.5","110","102","22.1","3.2","4.1","0.3","anthojo01",NA,NA
"230","Reserve","364","0","4517","252","496","0","0","186","288","373","873","66","73","365","150","552","690",".508",".646",".554","8.1","109","104","12.4","1.9","2.4","0.2","anthojo01",NA,NA
"231","40+","1","1","43","0","0","0","0","0","0","8","16","0","1","3","1","5","0",NA,NA,NA,"1.2","149","96","43.2","0.0","16.0","0.0","anthojo01",NA,NA
"232","30-39","33","13","1128","67","121","0","0","40","60","92","219","16","20","86","31","87","174",".554",".667",".590","7.6","118","103","34.2","5.3","6.6","0.5","anthojo01",NA,NA
"233","20-29","112","50","2730","149","277","0","0","104","162","192","471","41","45","202","70","292","402",".538",".642",".577","7.3","115","103","24.4","3.6","4.2","0.4","anthojo01",NA,NA
"234","10-19","144","41","2131","125","249","0","0","91","130","190","439","31","44","173","88","287","341",".502",".700",".557","8.6","106","103","14.8","2.4","3.0","0.2","anthojo01",NA,NA
"235","0-9","184","5","920","48","115","0","0","30","47","73","182","8","15","61","33","138","126",".417",".638",".464","8.4","92","107","5.0","0.7","1.0","0.0","anthojo01",NA,NA
"236","0 Days","90","29","1593","85","148","0","0","64","100","113","299","17","33","107","42","170","234",".574",".640",".609","7.0","116","106","17.7","2.6","3.3","0.2","anthojo01",NA,NA
"237","1 Day","221","54","3432","193","400","0","0","141","216","283","656","46","59","270","110","411","527",".483",".653",".532","8.3","108","103","15.5","2.4","3.0","0.2","anthojo01",NA,NA
"238","2 Days","64","18","997","52","102","0","0","28","38","82","190","20","21","80","37","120","132",".510",".737",".556","7.3","107","101","15.6","2.1","3.0","0.3","anthojo01",NA,NA
"239","3+ Days","89","7","816","55","101","0","0","28","40","65","155","10","11","63","30","97","138",".545",".700",".582","8.5","109","106","9.2","1.6","1.7","0.1","anthojo01",NA,NA
"240","Eastern","308","75","4694","271","534","0","0","164","252","375","917","59","76","351","135","545","706",".507",".651",".547","7.9","110","102","15.2","2.3","3.0","0.2","anthojo01",NA,NA
"241","Western","166","35","2258","118","228","0","0","101","147","180","410","37","49","174","88","264","337",".518",".687",".576","7.8","108","106","13.6","2.0","2.5","0.2","anthojo01",NA,NA
