"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"2134","20-29","46","31","1103","220","424","0","3","73","130","113","361","70","45","71","87","144","513",".519",".562",".533","22.4","100","103","24.0","11.2","7.8","1.5","nurkiju01",".000",NA
"2135","10-19","58","20","903","133","338","0","2","86","139","109","297","52","34","48","83","170","352",".393",".619",".441","22.8","89","105","15.6","6.1","5.1","0.9","nurkiju01",".000",NA
"2136","0-9","24","0","154","18","56","0","0","23","36","18","56","9","6","11","26","36","59",".321",".639",".411","27.2","75","101","6.4","2.5","2.3","0.4","nurkiju01",NA,NA
"2137","0 Days","25","14","452","75","162","0","0","39","62","52","154","26","15","20","37","75","189",".463",".629",".499","21.9","96","107","18.1","7.6","6.2","1.0","nurkiju01",NA,NA
"2138","1 Day","66","30","1293","231","493","0","5","99","174","138","412","71","59","82","120","187","561",".469",".569",".492","23.1","92","105","19.6","8.5","6.2","1.1","nurkiju01",".000",NA
"2139","2 Days","22","10","389","69","155","0","0","36","65","51","139","28","19","28","39","70","174",".445",".554",".474","24.2","93","101","17.7","7.9","6.3","1.3","nurkiju01",NA,NA
"2140","3+ Days","19","3","221","30","73","0","0","14","21","26","78","15","7","15","22","43","74",".411",".667",".450","20.4","88","103","11.6","3.9","4.1","0.8","nurkiju01",NA,NA
"2141","Eastern","52","22","912","154","339","0","3","80","129","107","308","48","39","59","85","133","388",".454",".620",".490","22.9","93","101","17.5","7.5","5.9","0.9","nurkiju01",".000",NA
"2142","Western","83","36","1487","262","566","0","2","117","205","164","493","95","61","87","136","248","641",".463",".571",".488","22.9","93","106","17.9","7.7","5.9","1.1","nurkiju01",".000",NA
"2143","Atlantic","20","9","322","48","120","0","0","35","60","43","106","16","17","22","29","52","131",".400",".583",".447","23.5","91","103","16.1","6.6","5.3","0.8","nurkiju01",NA,NA
"2144","Central","15","5","284","46","97","0","3","17","31","36","110","16","11","19","24","31","109",".474",".548",".493","20.6","93","99","18.9","7.3","7.3","1.1","nurkiju01",".000",NA
"2145","Northwest","27","13","489","89","200","0","0","43","85","66","171","29","20","28","44","74","221",".445",".506",".465","24.8","92","106","18.1","8.2","6.3","1.1","nurkiju01",NA,NA
"2146","Pacific","32","11","522","97","196","0","2","44","69","52","169","48","19","34","52","95","238",".495",".638",".526","22.6","98","108","16.3","7.4","5.3","1.5","nurkiju01",".000",NA
"2147","Southeast","17","8","306","60","122","0","0","28","38","28","92","16","11","18","32","50","148",".492",".737",".533","24.5","94","103","18.0","8.7","5.4","0.9","nurkiju01",NA,NA
"2148","Southwest","24","12","477","76","170","0","0","30","51","46","153","18","22","25","40","79","182",".447",".588",".473","21.1","89","103","19.9","7.6","6.4","0.8","nurkiju01",NA,NA
"2149","Atlanta","2","0","33","6","14","0","0","2","2","4","8","2","1","1","3","5","14",".429","1.000",".470","23.8","93","120","16.3","7.0","4.0","1.0","nurkiju01",NA,NA
"2150","Boston","5","3","73","10","25","0","0","10","15","12","28","5","3","6","10","10","30",".400",".667",".475","24.3","90","104","14.5","6.0","5.6","1.0","nurkiju01",NA,NA
"2151","Charlotte","4","1","73","12","37","0","0","7","9","8","22","2","5","7","5","11","31",".324",".778",".378","28.2","81","94","18.3","7.8","5.5","0.5","nurkiju01",NA,NA
"2152","Chicago","3","1","63","10","26","0","1","6","8","10","30","6","0","7","5","5","26",".385",".750",".440","22.5","99","104","21.0","8.7","10.0","2.0","nurkiju01",".000",NA
"2153","Cleveland","2","0","42","10","13","0","0","1","6","5","11","3","2","3","6","6","21",".769",".167",".671","23.1","99","118","21.1","10.5","5.5","1.5","nurkiju01",NA,NA
"2154","Dallas","4","3","75","8","29","0","0","5","5","13","28","5","4","2","6","12","21",".276","1.000",".337","21.0","84","108","18.6","5.3","7.0","1.3","nurkiju01",NA,NA
"2155","Detroit","5","3","104","16","36","0","1","5","8","14","45","4","5","3","10","10","37",".444",".625",".468","20.7","86","95","20.8","7.4","9.0","0.8","nurkiju01",".000",NA
"2156","Golden State","7","3","120","22","46","0","0","14","19","10","36","8","5","6","16","20","58",".478",".737",".533","23.9","91","116","17.2","8.3","5.1","1.1","nurkiju01",NA,NA
"2157","Houston","4","1","67","12","29","0","0","4","10","9","23","2","7","7","4","15","28",".414",".400",".419","22.1","88","98","16.7","7.0","5.8","0.5","nurkiju01",NA,NA
"2158","Indiana","4","0","42","5","13","0","1","4","6","1","9","1","2","3","2","6","14",".385",".667",".448","18.9","84","90","10.4","3.5","2.3","0.3","nurkiju01",".000",NA
"2159","LA Clippers","6","1","120","23","41","0","0","11","19","10","33","10","3","4","7","20","57",".561",".579",".577","20.3","112","109","19.9","9.5","5.5","1.7","nurkiju01",NA,NA
"2160","LA Lakers","6","2","101","18","35","0","1","8","12","9","26","10","4","9","6","16","44",".514",".667",".546","19.7","112","106","16.8","7.3","4.3","1.7","nurkiju01",".000",NA
"2161","Memphis","6","3","116","11","33","0","0","8","12","7","32","4","3","8","12","20","30",".333",".667",".392","19.4","69","97","19.3","5.0","5.3","0.7","nurkiju01",NA,NA
"2162","Miami","3","2","53","9","15","0","0","3","4","7","18","1","2","1","10","10","21",".600",".750",".626","22.5","82","107","17.6","7.0","6.0","0.3","nurkiju01",NA,NA
"2163","Milwaukee","1","1","33","5","9","0","0","1","3","6","15","2","2","3","1","4","11",".556",".333",".533","15.1","116","87","33.3","11.0","15.0","2.0","nurkiju01",NA,NA
