"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"293","2016-17","22","BRK","NBA","SF","44","16","21.4","2.6","6.4",".402","0.2","0.9",".220","2.4","5.5",".433",".418","2.5","3.2",".766","0.7","4.0","4.8","2.0","1.0","0.5","1.4","2.3","7.8","holliro01"
"294","2006-07","19","MIL","NBA","PF","66","14","14.7","2.1","5.5",".383","0.8","2.2",".365","1.3","3.3",".395",".457","1.1","1.3",".787","0.9","2.0","2.9","0.7","0.4","0.3","0.8","2.2","6.1","ilyaser01"
"295","2007-08","20","Did Not Play (other pro league—Spain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ilyaser01"
"296","2008-09","21","Did Not Play (other pro league—Spain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ilyaser01"
"297","2009-10","22","MIL","NBA","PF","81","31","23.4","4.0","9.0",".443","1.0","3.0",".336","3.0","6.0",".496",".499","1.4","2.0",".715","1.9","4.4","6.4","1.0","0.7","0.3","0.9","3.1","10.4","ilyaser01"
"298","2010-11","23","MIL","NBA","PF","60","34","25.1","3.7","8.5",".436","0.6","2.0",".298","3.1","6.4",".479",".471","1.6","1.7",".894","1.8","4.3","6.1","0.9","0.9","0.4","1.1","2.7","9.5","ilyaser01"
"299","2011-12","24","MIL","NBA","PF","60","41","27.6","4.9","10.0",".492","0.9","1.9",".455","4.1","8.1",".501",".535","2.4","3.1",".781","3.3","5.6","8.8","1.2","0.7","0.7","1.3","2.2","13.0","ilyaser01"
"300","2012-13","25","MIL","NBA","PF","73","54","27.6","5.1","11.0",".462","1.3","2.9",".444","3.8","8.1",".469",".521","1.7","2.2",".796","2.1","5.0","7.1","1.6","0.9","0.5","1.0","2.5","13.2","ilyaser01"
"301","2013-14","26","MIL","NBA","PF","55","47","26.9","4.3","10.5",".409","0.7","2.4",".282","3.6","8.1",".446",".441","1.9","2.4",".823","1.9","4.3","6.2","1.3","0.8","0.1","1.1","2.5","11.2","ilyaser01"
"302","2014-15","27","MIL","NBA","PF","58","36","22.7","4.5","9.6",".472","1.3","3.3",".389","3.3","6.3",".515",".539","1.2","1.8",".645","1.4","3.4","4.8","1.0","0.6","0.3","0.8","2.6","11.5","ilyaser01"
"303","2015-16","28","TOT","NBA","PF","74","56","25.4","3.8","8.9",".424","1.3","3.5",".371","2.5","5.4",".458",".496","1.5","2.1",".721","1.9","3.5","5.4","0.9","0.7","0.4","1.0","2.3","10.4","ilyaser01"
"304","2015-16","28","DET","NBA","PF","52","52","27.6","4.2","9.8",".425","1.5","4.1",".363","2.7","5.6",".471",".502","1.5","2.1",".725","1.9","3.5","5.4","1.1","0.7","0.5","1.1","2.3","11.3","ilyaser01"
"305","2015-16","28","ORL","NBA","PF","22","4","20.3","2.9","7.0",".418","0.8","2.0",".409","2.1","5.0",".422",".477","1.5","2.0",".711","2.0","3.5","5.5","0.5","0.6","0.3","0.5","2.3","8.1","ilyaser01"
"306","2016-17","29","TOT","NBA","PF","47","31","27.3","5.4","11.9",".454","2.1","5.6",".376","3.3","6.3",".522",".542","1.8","2.3",".776","1.3","4.7","6.0","1.7","0.6","0.3","1.5","2.3","14.7","ilyaser01"
"307","2016-17","29","OKC","NBA","PF","3","0","20.7","2.0","5.3",".375","1.0","4.0",".250","1.0","1.3",".750",".469","0.0","0.0","","0.7","4.7","5.3","0.3","1.0","0.3","1.3","1.7","5.0","ilyaser01"
