"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"25","2014-15","27","OKC","NBA","PG","28","1","24.2","2.5","6.6",".371","1.2","3.4",".354","1.3","3.2",".389",".462","1.1","1.3",".861","0.3","1.9","2.2","3.1","0.6","0.0","1.3","1.1","7.3","augusdj01"
"26","2015-16","28","TOT","NBA","PG","62","0","19.0","2.4","5.6",".423","1.1","2.7",".405","1.3","2.9",".440",".520","1.7","2.1",".805","0.1","1.4","1.5","3.2","0.6","0.1","1.4","1.4","7.5","augusdj01"
"27","2015-16","28","OKC","NBA","PG","34","0","15.3","1.4","3.6",".380","0.7","1.8",".393","0.6","1.8",".367",".479","0.8","1.0",".765","0.1","1.1","1.3","1.9","0.4","0.1","0.9","1.2","4.2","augusdj01"
"28","2015-16","28","DEN","NBA","PG","28","0","23.5","3.6","8.2",".445","1.6","3.8",".411","2.1","4.4",".475",".541","2.8","3.4",".819","0.1","1.8","1.9","4.7","0.9","0.1","1.9","1.6","11.6","augusdj01"
"29","2016-17","29","ORL","NBA","PG","49","20","20.5","2.9","7.2",".397","1.4","4.0",".361","1.4","3.3",".441",".496","1.6","1.9",".826","0.1","1.3","1.4","3.2","0.4","0.0","1.1","1.4","8.7","augusdj01"
"30","2016-17","23","NYK","NBA","SG","23","3","12.3","1.3","3.4",".392","0.5","1.6",".333","0.8","1.9",".442",".468","0.4","0.7",".667","0.3","1.4","1.7","1.2","0.6","0.1","0.8","1.0","3.7","bakerro01"
"31","2016-17","20","MEM","NBA","PG","24","1","12.9","1.1","3.5",".310","0.1","0.8",".111","1.0","2.8",".364",".321","1.1","1.3",".844","0.3","1.1","1.4","2.0","0.6","0.3","1.3","1.3","3.4","baldwwa01"
"32","2003-04","21","PHO","NBA","PG","70","46","21.4","3.0","6.7",".447","1.2","3.0",".395","1.8","3.7",".488",".535","0.7","0.9",".770","0.3","1.4","1.8","2.4","1.3","0.1","1.7","2.6","7.9","barbole01"
"33","2004-05","22","PHO","NBA","PG","63","6","17.3","2.7","5.6",".475","0.8","2.2",".367","1.9","3.4",".544",".547","0.9","1.1",".797","0.5","1.6","2.1","2.0","0.5","0.1","1.4","2.0","7.0","barbole01"
"34","2005-06","23","PHO","NBA","SG","57","11","27.9","4.8","9.9",".481","1.5","3.4",".444","3.3","6.5",".501",".558","1.9","2.6",".755","0.5","2.1","2.6","2.8","0.8","0.1","1.6","2.5","13.1","barbole01"
"35","2006-07","24","PHO","NBA","SG","80","18","32.7","6.6","13.9",".476","2.4","5.5",".434","4.2","8.4",".504",".562","2.5","2.9",".845","0.3","2.4","2.7","4.0","1.2","0.2","1.8","2.6","18.1","barbole01"
"36","2007-08","25","PHO","NBA","SG","82","12","29.5","5.8","12.5",".462","2.0","5.1",".389","3.8","7.3",".514",".543","2.1","2.6",".822","0.5","2.3","2.8","2.6","0.9","0.2","1.4","2.4","15.6","barbole01"
"37","2008-09","26","PHO","NBA","SG","70","11","24.4","5.2","10.8",".482","1.3","3.4",".375","3.9","7.4",".532",".542","2.4","2.8",".881","0.5","2.1","2.6","2.3","1.2","0.1","1.3","1.6","14.2","barbole01"
"38","2009-10","27","PHO","NBA","PG","44","5","17.9","3.5","8.3",".425","1.0","3.1",".324","2.5","5.2",".485",".485","1.5","1.7",".877","0.3","1.3","1.6","1.5","0.5","0.3","1.0","1.6","9.5","barbole01"
"39","2010-11","28","TOR","NBA","SG","58","0","24.1","5.1","11.3",".450","1.2","3.7",".338","3.8","7.6",".505",".505","1.9","2.4",".796","0.2","1.5","1.7","2.1","0.9","0.1","1.4","1.9","13.3","barbole01"
"40","2011-12","29","TOT","NBA","SG","64","0","21.6","4.2","10.0",".425","1.0","2.7",".382","3.2","7.3",".441",".476","1.6","1.9",".815","0.5","1.5","2.0","1.5","0.9","0.1","1.5","2.1","11.1","barbole01"
"41","2011-12","29","TOR","NBA","SG","42","0","22.5","4.7","10.8",".436","1.0","2.6",".360","3.8","8.2",".461",".480","1.8","2.2",".835","0.5","1.4","1.9","1.5","0.9","0.2","1.6","2.4","12.2","barbole01"
"42","2011-12","29","IND","NBA","SG","22","0","19.8","3.3","8.3",".399","1.1","2.7",".424","2.2","5.6",".387",".467","1.1","1.5",".758","0.5","1.7","2.2","1.5","0.9","0.0","1.2","1.5","8.9","barbole01"
"43","2012-13","30","BOS","NBA","PG","41","2","12.5","2.0","4.7",".430","0.4","1.1",".383","1.6","3.6",".445",".477","0.8","1.0",".756","0.2","0.9","1.1","1.4","0.4","0.1","0.5","1.2","5.2","barbole01"
"44","2013-14","31","PHO","NBA","PG","20","0","18.4","2.8","6.6",".427","0.4","1.3",".280","2.5","5.3",".462",".454","1.6","2.0",".795","0.3","1.6","1.9","1.6","0.4","0.2","1.0","1.5","7.5","barbole01"
"45","2014-15","32","GSW","NBA","SG","66","1","14.9","2.8","5.8",".474","0.7","1.7",".384","2.1","4.2",".511",".530","0.9","1.1",".784","0.3","1.0","1.4","1.5","0.6","0.1","0.7","1.3","7.1","barbole01"
"46","2015-16","33","GSW","NBA","SG","68","0","15.9","2.5","5.4",".462","0.6","1.6",".355","1.9","3.8",".508",".515","0.8","0.9",".839","0.4","1.3","1.7","1.2","0.6","0.1","0.8","1.6","6.4","barbole01"
"47","2016-17","34","PHO","NBA","SG","44","0","12.7","2.4","5.1",".466","0.5","1.2",".442","1.8","3.9",".474",".518","0.3","0.3",".857","0.2","1.2","1.4","1.2","0.5","0.1","0.5","1.1","5.5","barbole01"
"48","2006-07","22","DAL","NBA","PG","33","1","5.8","0.8","2.4",".359","0.2","0.6",".286","0.7","1.7",".386",".397","0.5","0.7",".667","0.2","0.5","0.8","0.7","0.0","0.0","0.4","0.6","2.4","bareajo01"
"49","2007-08","23","DAL","NBA","PG","44","9","10.5","1.6","3.9",".418","0.5","1.2",".389","1.1","2.6",".431",".479","0.6","0.8",".800","0.1","1.0","1.1","1.3","0.3","0.0","0.8","1.1","4.3","bareajo01"
"50","2008-09","24","DAL","NBA","SG","79","15","20.3","3.1","7.1",".442","0.7","1.9",".357","2.4","5.1",".474",".491","0.9","1.2",".753","0.5","1.8","2.2","3.4","0.5","0.1","1.3","1.5","7.8","bareajo01"
"51","2009-10","25","DAL","NBA","PG","78","18","19.8","3.0","6.8",".440","0.7","2.0",".357","2.3","4.7",".476",".493","1.0","1.2",".844","0.2","1.7","1.9","3.3","0.4","0.1","1.3","1.5","7.6","bareajo01"
"52","2010-11","26","DAL","NBA","PG","81","2","20.6","3.5","8.0",".439","0.8","2.3",".349","2.7","5.7",".476",".490","1.6","1.9",".847","0.4","1.6","2.0","3.9","0.4","0.0","1.7","1.7","9.5","bareajo01"
"53","2011-12","27","MIN","NBA","PG","41","11","25.2","4.1","10.2",".400","1.3","3.5",".371","2.8","6.7",".415",".463","1.9","2.4",".776","0.3","2.4","2.8","5.7","0.5","0.0","2.5","1.5","11.3","bareajo01"
